Article,Triplet,Title,Head,Relation,Tail
Article 102  Recovery by offsetting,"('national authority', 'instance of', 'national authority')",TITLE IV BUDGET IMPLEMENTATION,national authority,instance of,national authority
Article 102  Recovery by offsetting,"('national authority', 'instance of', 'member state')",TITLE IV BUDGET IMPLEMENTATION,national authority,instance of,member state
Article 102  Recovery by offsetting,"('national authority', 'main regulatory text', 'article 133. l 193/78')",TITLE IV BUDGET IMPLEMENTATION,national authority,main regulatory text,article 133. l 193/78
Article 102  Recovery by offsetting,"('national authority', 'main regulatory text', 'l 193/78')",TITLE IV BUDGET IMPLEMENTATION,national authority,main regulatory text,l 193/78
Article 102  Recovery by offsetting,"('l', 'executive body', 'national authority')",TITLE IV BUDGET IMPLEMENTATION,l,executive body,national authority
Article 102  Recovery by offsetting,"('l', 'foundational text', 'article 133. l 193/78')",TITLE IV BUDGET IMPLEMENTATION,l,foundational text,article 133. l 193/78
Article 102  Recovery by offsetting,"('l', 'instance of', 'national authority')",TITLE IV BUDGET IMPLEMENTATION,l,instance of,national authority
Article 102  Recovery by offsetting,"('l', 'instance of', 'administrative entities')",TITLE IV BUDGET IMPLEMENTATION,l,instance of,administrative entities
Article 102  Recovery by offsetting,"('l', 'main regulatory text', 'article 133. l 193/78')",TITLE IV BUDGET IMPLEMENTATION,l,main regulatory text,article 133. l 193/78
Article 102  Recovery by offsetting,"('member state', 'executive body', 'national authority')",TITLE IV BUDGET IMPLEMENTATION,member state,executive body,national authority
Article 102  Recovery by offsetting,"('member state', 'foundational text', 'article 133. l 193/78')",TITLE IV BUDGET IMPLEMENTATION,member state,foundational text,article 133. l 193/78
Article 102  Recovery by offsetting,"('member state', 'foundational text', 'national authority')",TITLE IV BUDGET IMPLEMENTATION,member state,foundational text,national authority
Article 102  Recovery by offsetting,"('member state', 'instance of', 'national authority')",TITLE IV BUDGET IMPLEMENTATION,member state,instance of,national authority
Article 102  Recovery by offsetting,"('member state', 'main regulatory text', 'article 133. l 193/78')",TITLE IV BUDGET IMPLEMENTATION,member state,main regulatory text,article 133. l 193/78
Article 102  Recovery by offsetting,"('member state', 'instance of', 'member state')",TITLE IV BUDGET IMPLEMENTATION,member state,instance of,member state
Article 102  Recovery by offsetting,"('member state', 'instance of', 'union')",TITLE IV BUDGET IMPLEMENTATION,member state,instance of,union
Article 102  Recovery by offsetting,"('accounting officer', 'field of this occupation', 'member state')",TITLE IV BUDGET IMPLEMENTATION,accounting officer,field of this occupation,member state
Article 102  Recovery by offsetting,"('national authority', 'field of this occupation', 'article 133. l 193/78')",TITLE IV BUDGET IMPLEMENTATION,national authority,field of this occupation,article 133. l 193/78
Article 102  Recovery by offsetting,"('national authority', 'field of this occupation', 'l 193/78')",TITLE IV BUDGET IMPLEMENTATION,national authority,field of this occupation,l 193/78
Article 102  Recovery by offsetting,"('l', 'main regulatory text', 'l 193/78')",TITLE IV BUDGET IMPLEMENTATION,l,main regulatory text,l 193/78
Article 102  Recovery by offsetting,"('the union', 'foundational text', 'article 98(4')",TITLE IV BUDGET IMPLEMENTATION,the union,foundational text,article 98(4
Article 102  Recovery by offsetting,"('the union', 'part of', 'article 98(4')",TITLE IV BUDGET IMPLEMENTATION,the union,part of,article 98(4
Article 104  Additional time for payment,"('the union', 'CITES Appendix', 'union institution')",TITLE IV BUDGET IMPLEMENTATION,the union,CITES Appendix,union institution
Article 104  Additional time for payment,"('the union', 'external auditor', 'union institution')",TITLE IV BUDGET IMPLEMENTATION,the union,external auditor,union institution
Article 104  Additional time for payment,"('accounting officer', 'instance of', 'debtor')",TITLE IV BUDGET IMPLEMENTATION,accounting officer,instance of,debtor
Article 104  Additional time for payment,"('accounting officer', 'instance of', 'article 99')",TITLE IV BUDGET IMPLEMENTATION,accounting officer,instance of,article 99
Article 104  Additional time for payment,"('the union', 'instance of', 'joint and several')",TITLE IV BUDGET IMPLEMENTATION,the union,instance of,joint and several
Article 104  Additional time for payment,"('union', 'instance of', 'joint and several')",TITLE IV BUDGET IMPLEMENTATION,union,instance of,joint and several
Article 105  Limitation period,"('union institution', 'facet of', 'the union')",TITLE IV BUDGET IMPLEMENTATION,union institution,facet of,the union
Article 105  Limitation period,"('union institution', 'facet of', 'union')",TITLE IV BUDGET IMPLEMENTATION,union institution,facet of,union
Article 105  Limitation period,"('union', 'external auditor', 'the union')",TITLE IV BUDGET IMPLEMENTATION,union,external auditor,the union
Article 105  Limitation period,"('res judicata', 'facet of', 'court')",TITLE IV BUDGET IMPLEMENTATION,res judicata,facet of,court
"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions","('court of justice of the european unionthe', 'significant place', 'european union')",TITLE IV BUDGET IMPLEMENTATION,court of justice of the european unionthe,significant place,european union
"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions","('european union', 'highest judicial authority', 'court of justice of the european unionthe')",TITLE IV BUDGET IMPLEMENTATION,european union,highest judicial authority,court of justice of the european unionthe
"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions","('following financial year', 'facet of', 'the budget')",TITLE IV BUDGET IMPLEMENTATION,following financial year,facet of,the budget
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('commission', 'foundational text', 'euratom')",TITLE IV BUDGET IMPLEMENTATION,commission,foundational text,euratom
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('commission', 'main regulatory text', 'euratom')",TITLE IV BUDGET IMPLEMENTATION,commission,main regulatory text,euratom
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('court of justice of the european union', 'country', 'the european union')",TITLE IV BUDGET IMPLEMENTATION,court of justice of the european union,country,the european union
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('court of justice of the european union', 'significant place', 'the european union')",TITLE IV BUDGET IMPLEMENTATION,court of justice of the european union,significant place,the european union
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('the european union', 'highest judicial authority', 'court of justice of the european union')",TITLE IV BUDGET IMPLEMENTATION,the european union,highest judicial authority,court of justice of the european union
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('court of justice of the european unionthe', 'country', 'european union')",TITLE IV BUDGET IMPLEMENTATION,court of justice of the european unionthe,country,european union
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('commission', 'foundational text', 'euratom treaty')",TITLE IV BUDGET IMPLEMENTATION,commission,foundational text,euratom treaty
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('european union', 'executive body', 'budget')",TITLE IV BUDGET IMPLEMENTATION,european union,executive body,budget
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('european unionthe', 'highest judicial authority', 'court of justice of the european union')",TITLE IV BUDGET IMPLEMENTATION,european unionthe,highest judicial authority,court of justice of the european union
"Article 108  Recovery of fines, other penalties or sanctions imposed by Union institutions","('court of justice of the european union', 'significant place', 'european unionthe')",TITLE IV BUDGET IMPLEMENTATION,court of justice of the european union,significant place,european unionthe
Article 110  Financing decisions,"('work programme', 'instance of', 'work programme')",TITLE IV BUDGET IMPLEMENTATION,work programme,instance of,work programme
Article 110  Financing decisions,"('work programme', 'foundational text', 'basic act')",TITLE IV BUDGET IMPLEMENTATION,work programme,foundational text,basic act
Article 110  Financing decisions,"('basic act', 'facet of', 'union')",TITLE IV BUDGET IMPLEMENTATION,basic act,facet of,union
Article 110  Financing decisions,"('union', 'executive body', 'article 234')",TITLE IV BUDGET IMPLEMENTATION,union,executive body,article 234
Article 110  Financing decisions,"('union', 'foundational text', 'article 234')",TITLE IV BUDGET IMPLEMENTATION,union,foundational text,article 234
Article 110  Financing decisions,"('the contest', 'conferred by', 'union institution')",TITLE IV BUDGET IMPLEMENTATION,the contest,conferred by,union institution
Article 110  Financing decisions,"('union', 'currency', 'eur')",TITLE IV BUDGET IMPLEMENTATION,union,currency,eur
Article 110  Financing decisions,"('union', 'foundational text', 'basic')",TITLE IV BUDGET IMPLEMENTATION,union,foundational text,basic
Article 110  Financing decisions,"('union', 'main regulatory text', 'article 234')",TITLE IV BUDGET IMPLEMENTATION,union,main regulatory text,article 234
Article 110  Financing decisions,"('prizes', 'conferred by', 'union')",TITLE IV BUDGET IMPLEMENTATION,prizes,conferred by,union
Article 110  Financing decisions,"('eur', 'significant place', 'union')",TITLE IV BUDGET IMPLEMENTATION,eur,significant place,union
Article 110  Financing decisions,"('union', 'currency symbol description', 'eur')",TITLE IV BUDGET IMPLEMENTATION,union,currency symbol description,eur
Article 110  Financing decisions,"('basic act', 'instance of', 'basic act')",TITLE IV BUDGET IMPLEMENTATION,basic act,instance of,basic act
Article 111  Expenditure operations,"('electronically secured signature', 'facet of', 'article 146')",TITLE IV BUDGET IMPLEMENTATION,electronically secured signature,facet of,article 146
Article 111  Expenditure operations,"('sound financial management', 'facet of', 'treaties')",TITLE IV BUDGET IMPLEMENTATION,sound financial management,facet of,treaties
Article 111  Expenditure operations,"('commission', 'field of work', 'crisis management')",TITLE IV BUDGET IMPLEMENTATION,commission,field of work,crisis management
Article 111  Expenditure operations,"('the union', 'authority', 'commission')",TITLE IV BUDGET IMPLEMENTATION,the union,authority,commission
Article 111  Expenditure operations,"('the treaties', 'foundational text', 'the treaties')",TITLE IV BUDGET IMPLEMENTATION,the treaties,foundational text,the treaties
Article 111  Expenditure operations,"('treaties', 'foundational text', 'the treaties')",TITLE IV BUDGET IMPLEMENTATION,treaties,foundational text,the treaties
Article 111  Expenditure operations,"('the treaties', 'foundational text', 'treaties')",TITLE IV BUDGET IMPLEMENTATION,the treaties,foundational text,treaties
Article 111  Expenditure operations,"('direct debit', 'instance of', 'direct debit system from an imprest')",TITLE IV BUDGET IMPLEMENTATION,direct debit,instance of,direct debit system from an imprest
Article 111  Expenditure operations,"('direct debit', 'instance of', 'imprest')",TITLE IV BUDGET IMPLEMENTATION,direct debit,instance of,imprest
Article 111  Expenditure operations,"('direct debit system from an imprest', 'instance of', 'direct debit')",TITLE IV BUDGET IMPLEMENTATION,direct debit system from an imprest,instance of,direct debit
Article 111  Expenditure operations,"('direct debit system from an imprest', 'instance of', 'direct debit system from an imprest')",TITLE IV BUDGET IMPLEMENTATION,direct debit system from an imprest,instance of,direct debit system from an imprest
Article 111  Expenditure operations,"('direct debit system from an imprest', 'instance of', 'imprest')",TITLE IV BUDGET IMPLEMENTATION,direct debit system from an imprest,instance of,imprest
Article 111  Expenditure operations,"('imprest', 'instance of', 'direct debit system from an imprest')",TITLE IV BUDGET IMPLEMENTATION,imprest,instance of,direct debit system from an imprest
Article 112  Types of budgetary commitments,"('budget support', 'subclass of', 'legal commitments')",TITLE IV BUDGET IMPLEMENTATION,budget support,subclass of,legal commitments
Article 112  Types of budgetary commitments,"('budget support', 'instance of', 'legal commitments')",TITLE IV BUDGET IMPLEMENTATION,budget support,instance of,legal commitments
Article 112  Types of budgetary commitments,"('budget support', 'said to be the same as', 'direct financial assistance')",TITLE IV BUDGET IMPLEMENTATION,budget support,said to be the same as,direct financial assistance
Article 113  Commitments for EAGF appropriations,"('the eagf', 'foundational text', 'eagf')",TITLE IV BUDGET IMPLEMENTATION,the eagf,foundational text,eagf
Article 113  Commitments for EAGF appropriations,"('the eagf', 'external auditor', 'eagf')",TITLE IV BUDGET IMPLEMENTATION,the eagf,external auditor,eagf
Article 114  Time limits for commitments,"('external actions', 'foundational text', 'article 207(4)')",TITLE IV BUDGET IMPLEMENTATION,external actions,foundational text,article 207(4)
Article 114  Time limits for commitments,"('european parliament', 'country', 'eu')",TITLE IV BUDGET IMPLEMENTATION,european parliament,country,eu
Article 114  Time limits for commitments,"('budgetary', 'field of work', 'budgetary')",TITLE IV BUDGET IMPLEMENTATION,budgetary,field of work,budgetary
Article 114  Time limits for commitments,"('budgetary', 'part of', 'budgetary')",TITLE IV BUDGET IMPLEMENTATION,budgetary,part of,budgetary
Article 114  Time limits for commitments,"('under litigation', 'court', 'judicial')",TITLE IV BUDGET IMPLEMENTATION,under litigation,court,judicial
Article 115  Types of payments,"('provision', 'foundational text', 'article 212')",TITLE IV BUDGET IMPLEMENTATION,provision,foundational text,article 212
Article 115  Types of payments,"('provision', 'foundational text', 'common provisioning fund')",TITLE IV BUDGET IMPLEMENTATION,provision,foundational text,common provisioning fund
Article 115  Types of payments,"('common provisioning fund', 'foundational text', 'provision')",TITLE IV BUDGET IMPLEMENTATION,common provisioning fund,foundational text,provision
Article 115  Types of payments,"('common provisioning fund', 'foundational text', 'article 212')",TITLE IV BUDGET IMPLEMENTATION,common provisioning fund,foundational text,article 212
Article 115  Types of payments,"('basic act', 'foundational text', 'act')",TITLE IV BUDGET IMPLEMENTATION,basic act,foundational text,act
Article 115  Types of payments,"('act', 'foundational text', 'basic act')",TITLE IV BUDGET IMPLEMENTATION,act,foundational text,basic act
Article 115  Types of payments,"('act', 'foundational text', 'act')",TITLE IV BUDGET IMPLEMENTATION,act,foundational text,act
Article 115  Types of payments,"('act', 'foundational text', 'provision')",TITLE IV BUDGET IMPLEMENTATION,act,foundational text,provision
Article 115  Types of payments,"('article 212', 'foundational text', 'basic act')",TITLE IV BUDGET IMPLEMENTATION,article 212,foundational text,basic act
Article 116  Time limits for payments,"('contracts', 'instance of', 'report')",TITLE IV BUDGET IMPLEMENTATION,contracts,instance of,report
Article 116  Time limits for payments,"('union institution', 'currency', 'currency')",TITLE IV BUDGET IMPLEMENTATION,union institution,currency,currency
Article 116  Time limits for payments,"('union institution', 'instance of', 'currency')",TITLE IV BUDGET IMPLEMENTATION,union institution,instance of,currency
Article 116  Time limits for payments,"('eif', 'external auditor', 'eib')",TITLE IV BUDGET IMPLEMENTATION,eif,external auditor,eib
Article 116  Time limits for payments,"('union institution', 'industry', 'currency')",TITLE IV BUDGET IMPLEMENTATION,union institution,industry,currency
Article 117  Appointment of the internal auditor,"('the eeas', 'external auditor', 'commission for the financial management')",TITLE IV BUDGET IMPLEMENTATION,the eeas,external auditor,commission for the financial management
Article 117  Appointment of the internal auditor,"('council', 'instance of', 'council')",TITLE IV BUDGET IMPLEMENTATION,council,instance of,council
Article 117  Appointment of the internal auditor,"('union', 'instance of', 'internal audit')",TITLE IV BUDGET IMPLEMENTATION,union,instance of,internal audit
Article 119  Work programme of the internal auditor,"('union', 'external auditor', 'internal auditor')",TITLE IV BUDGET IMPLEMENTATION,union,external auditor,internal auditor
Article 120  Independence of the internal auditor,"('internal auditor', 'field of this occupation', 'exclusive audit')",TITLE IV BUDGET IMPLEMENTATION,internal auditor,field of this occupation,exclusive audit
Article 120  Independence of the internal auditor,"('internal auditor', 'field of this occupation', 'audit')",TITLE IV BUDGET IMPLEMENTATION,internal auditor,field of this occupation,audit
Article 121  Liability of the internal auditor,"('union', 'CITES Appendix', 'and')",TITLE IV BUDGET IMPLEMENTATION,union,CITES Appendix,and
Article 121  Liability of the internal auditor,"('union', 'CITES Appendix', 'staff regulations')",TITLE IV BUDGET IMPLEMENTATION,union,CITES Appendix,staff regulations
Article 121  Liability of the internal auditor,"('and', 'part of', 'and')",TITLE IV BUDGET IMPLEMENTATION,and,part of,and
Article 121  Liability of the internal auditor,"('and', 'supplement to', 'staff regulations')",TITLE IV BUDGET IMPLEMENTATION,and,supplement to,staff regulations
Article 125  Forms of Union contribution,"('commission', 'subclass of', 'union')",TITLE V COMMON RULES,commission,subclass of,union
Article 125  Forms of Union contribution,"('milestones', 'follows', 'performance indicators')",TITLE V COMMON RULES,milestones,follows,performance indicators
Article 125  Forms of Union contribution,"('union', 'foundational text', 'article 181')",TITLE V COMMON RULES,union,foundational text,article 181
Article 125  Forms of Union contribution,"('shared management', 'main regulatory text', 'article 181')",TITLE V COMMON RULES,shared management,main regulatory text,article 181
Article 125  Forms of Union contribution,"('management', 'instance of', 'management')",TITLE V COMMON RULES,management,instance of,management
Article 125  Forms of Union contribution,"('union', 'has use', 'commission')",TITLE V COMMON RULES,union,has use,commission
Article 125  Forms of Union contribution,"('milestones', 'instance of', 'performance indicators')",TITLE V COMMON RULES,milestones,instance of,performance indicators
Article 125  Forms of Union contribution,"('union', 'has use', 'shared management')",TITLE V COMMON RULES,union,has use,shared management
Article 125  Forms of Union contribution,"('union', 'main regulatory text', 'article 181')",TITLE V COMMON RULES,union,main regulatory text,article 181
Article 125  Forms of Union contribution,"('shared management', 'subclass of', 'union')",TITLE V COMMON RULES,shared management,subclass of,union
Article 126  Cross-reliance on assessments,"('the commission', 'foundational text', 'regulation')",TITLE V COMMON RULES,the commission,foundational text,regulation
Article 126  Cross-reliance on assessments,"('standards', 'standards body', 'commission')",TITLE V COMMON RULES,standards,standards body,commission
Article 129  Cooperation for protection of the financial interests of the Union,"('union', 'executive body', 'eppo')",TITLE V COMMON RULES,union,executive body,eppo
Article 129  Cooperation for protection of the financial interests of the Union,"('olaf', 'external auditor', 'court of auditors')",TITLE V COMMON RULES,olaf,external auditor,court of auditors
Article 129  Cooperation for protection of the financial interests of the Union,"('euratom', 'legislative body', 'european parliament')",TITLE V COMMON RULES,euratom,legislative body,european parliament
Article 129  Cooperation for protection of the financial interests of the Union,"('s e c t i o n 1', 'facet of', 'chapter 2')",TITLE V COMMON RULES,s e c t i o n 1,facet of,chapter 2
Article 129  Cooperation for protection of the financial interests of the Union,"('d', 'follows', 's e c t i o n 1')",TITLE V COMMON RULES,d,follows,s e c t i o n 1
Article 129  Cooperation for protection of the financial interests of the Union,"('d u r e s a n d', 'follows', 's e c t i o n 1')",TITLE V COMMON RULES,d u r e s a n d,follows,s e c t i o n 1
Article 129  Cooperation for protection of the financial interests of the Union,"('european parliament', 'country', 'euratom')",TITLE V COMMON RULES,european parliament,country,euratom
Article 130  Financial framework partnerships,"('union', 'external auditor', 'the commission')",TITLE V COMMON RULES,union,external auditor,the commission
Article 130  Financial framework partnerships,"('contribution agreements', 'part of', 'financial framework partnerships')",TITLE V COMMON RULES,contribution agreements,part of,financial framework partnerships
Article 130  Financial framework partnerships,"('financial framework', 'part of', 'financial framework')",TITLE V COMMON RULES,financial framework,part of,financial framework
Article 130  Financial framework partnerships,"('the commission', 'field of work', 'union')",TITLE V COMMON RULES,the commission,field of work,union
Article 130  Financial framework partnerships,"('union funds', 'part of', 'union')",TITLE V COMMON RULES,union funds,part of,union
Article 130  Financial framework partnerships,"('financial framework', 'main regulatory text', 'multiannual financial framework')",TITLE V COMMON RULES,financial framework,main regulatory text,multiannual financial framework
Article 130  Financial framework partnerships,"('financial framework', 'part of', 'multiannual financial framework')",TITLE V COMMON RULES,financial framework,part of,multiannual financial framework
"Article 131  Suspension, termination and reduction","('union', 'foundational text', 'article 62(1)')",TITLE V COMMON RULES,union,foundational text,article 62(1)
"Article 131  Suspension, termination and reduction","('payments', 'convicted of', 'fraud')",TITLE V COMMON RULES,payments,convicted of,fraud
"Article 131  Suspension, termination and reduction","('payments', 'subclass of', 'fraud')",TITLE V COMMON RULES,payments,subclass of,fraud
"Article 131  Suspension, termination and reduction","('prize', 'conferred by', 'authorising officer')",TITLE V COMMON RULES,prize,conferred by,authorising officer
"Article 131  Suspension, termination and reduction","('fraud', 'has cause', 'fraud')",TITLE V COMMON RULES,fraud,has cause,fraud
"Article 131  Suspension, termination and reduction","('union funds', 'subclass of', 'fraud')",TITLE V COMMON RULES,union funds,subclass of,fraud
Article 132  Record-keeping,"('olaf', 'said to be the same as', 'olaf')",TITLE V COMMON RULES,olaf,said to be the same as,olaf
"Article 135  Protection of the financial interests of the Union by means of detection of risks, exclusion and imposition of","('union', 'foundational text', 'article 136(1)')",TITLE V COMMON RULES,union,foundational text,article 136(1)
"Article 135  Protection of the financial interests of the Union by means of detection of risks, exclusion and imposition of","('article 143', 'part of', 'award')",TITLE V COMMON RULES,article 143,part of,award
"Article 135  Protection of the financial interests of the Union by means of detection of risks, exclusion and imposition of","('award', 'conferred by', 'participant')",TITLE V COMMON RULES,award,conferred by,participant
"Article 135  Protection of the financial interests of the Union by means of detection of risks, exclusion and imposition of","('sponsors', 'part of', 'article 142(2)')",TITLE V COMMON RULES,sponsors,part of,article 142(2)
Article 136  Exclusion criteria and decisions on exclusions,"('bankrupt', 'subclass of', 'insolvency')",TITLE V COMMON RULES,bankrupt,subclass of,insolvency
Article 136  Exclusion criteria and decisions on exclusions,"('insolvency', 'has cause', 'bankrupt')",TITLE V COMMON RULES,insolvency,has cause,bankrupt
Article 136  Exclusion criteria and decisions on exclusions,"('convention on the protection of the european communities’ financial interests', 'publication date', '26 july 1995')",TITLE V COMMON RULES,convention on the protection of the european communities’ financial interests,publication date,26 july 1995
Article 136  Exclusion criteria and decisions on exclusions,"('convention on the fight against corruption', 'point in time', '26 may 1997')",TITLE V COMMON RULES,convention on the fight against corruption,point in time,26 may 1997
Article 136  Exclusion criteria and decisions on exclusions,"('the budget', 'external auditor', 'olaf')",TITLE V COMMON RULES,the budget,external auditor,olaf
Article 136  Exclusion criteria and decisions on exclusions,"('ec', 'external auditor', 'olaf')",TITLE V COMMON RULES,ec,external auditor,olaf
Article 136  Exclusion criteria and decisions on exclusions,"('member states', 'laws applied', 'member states')",TITLE V COMMON RULES,member states,laws applied,member states
Article 136  Exclusion criteria and decisions on exclusions,"('eppo', 'external auditor', 'court of auditors')",TITLE V COMMON RULES,eppo,external auditor,court of auditors
Article 136  Exclusion criteria and decisions on exclusions,"('eppo', 'external auditor', 'olaf')",TITLE V COMMON RULES,eppo,external auditor,olaf
Article 136  Exclusion criteria and decisions on exclusions,"('the union', 'CITES Appendix', 'union')",TITLE V COMMON RULES,the union,CITES Appendix,union
Article 136  Exclusion criteria and decisions on exclusions,"('the award', 'conferred by', 'the award')",TITLE V COMMON RULES,the award,conferred by,the award
Article 136  Exclusion criteria and decisions on exclusions,"('the award', 'conferred by', 'award')",TITLE V COMMON RULES,the award,conferred by,award
Article 136  Exclusion criteria and decisions on exclusions,"('award', 'conferred by', 'the award')",TITLE V COMMON RULES,award,conferred by,the award
Article 136  Exclusion criteria and decisions on exclusions,"('award', 'conferred by', 'award')",TITLE V COMMON RULES,award,conferred by,award
Article 136  Exclusion criteria and decisions on exclusions,"('article 143', 'published in', 'union')",TITLE V COMMON RULES,article 143,published in,union
Article 136  Exclusion criteria and decisions on exclusions,"('union', 'main regulatory text', 'article 143')",TITLE V COMMON RULES,union,main regulatory text,article 143
Article 136  Exclusion criteria and decisions on exclusions,"('union', 'foundational text', 'article 135(2)')",TITLE V COMMON RULES,union,foundational text,article 135(2)
Article 136  Exclusion criteria and decisions on exclusions,"('insolvency', 'subclass of', 'insolvency')",TITLE V COMMON RULES,insolvency,subclass of,insolvency
Article 136  Exclusion criteria and decisions on exclusions,"('business', 'instance of', 'business')",TITLE V COMMON RULES,business,instance of,business
Article 136  Exclusion criteria and decisions on exclusions,"('child labour', 'main regulatory text', 'directive 2011/36/eu of the european parliament and of the council')",TITLE V COMMON RULES,child labour,main regulatory text,directive 2011/36/eu of the european parliament and of the council
Article 136  Exclusion criteria and decisions on exclusions,"('main', 'statement is subject of', 'main obligations')",TITLE V COMMON RULES,main,statement is subject of,main obligations
Article 136  Exclusion criteria and decisions on exclusions,"('main', 'statement is subject of', 'the budget')",TITLE V COMMON RULES,main,statement is subject of,the budget
Article 136  Exclusion criteria and decisions on exclusions,"('commission', 'facet of', 'union')",TITLE V COMMON RULES,commission,facet of,union
Article 136  Exclusion criteria and decisions on exclusions,"('union', 'laws applied', 'commission')",TITLE V COMMON RULES,union,laws applied,commission
Article 136  Exclusion criteria and decisions on exclusions,"('union', 'foundational text', 'article 143')",TITLE V COMMON RULES,union,foundational text,article 143
Article 136  Exclusion criteria and decisions on exclusions,"('olaf', 'main regulatory text', 'council regulation (ec, euratom) no 2988/95')",TITLE V COMMON RULES,olaf,main regulatory text,"council regulation (ec, euratom) no 2988/95"
Article 136  Exclusion criteria and decisions on exclusions,"('the commission', 'laws applied', 'commission')",TITLE V COMMON RULES,the commission,laws applied,commission
Article 136  Exclusion criteria and decisions on exclusions,"('article 143', 'published in', 'this article')",TITLE V COMMON RULES,article 143,published in,this article
Article 136  Exclusion criteria and decisions on exclusions,"('union', 'foundational text', 'this article')",TITLE V COMMON RULES,union,foundational text,this article
Article 137  Declaration and evidence of absence of an exclusion situation,"('award', 'conferred by', 'authorising officer')",TITLE V COMMON RULES,award,conferred by,authorising officer
Article 137  Declaration and evidence of absence of an exclusion situation,"('the declarations', 'conferred by', 'award')",TITLE V COMMON RULES,the declarations,conferred by,award
Article 137  Declaration and evidence of absence of an exclusion situation,"('candidate', 'supplement to', 'participant')",TITLE V COMMON RULES,candidate,supplement to,participant
Article 137  Declaration and evidence of absence of an exclusion situation,"('judicial record', 'instance of', 'judicial record')",TITLE V COMMON RULES,judicial record,instance of,judicial record
Article 137  Declaration and evidence of absence of an exclusion situation,"('article 141(1)', 'follows', 'article 136(1)')",TITLE V COMMON RULES,article 141(1),follows,article 136(1)
Article 137  Declaration and evidence of absence of an exclusion situation,"('the candidate', 'towards', 'candidate')",TITLE V COMMON RULES,the candidate,towards,candidate
Article 137  Declaration and evidence of absence of an exclusion situation,"('participant', 'CITES Appendix', 'article 136(1)')",TITLE V COMMON RULES,participant,CITES Appendix,article 136(1)
Article 137  Declaration and evidence of absence of an exclusion situation,"('country of establishment', 'executive body', 'administrative authority')",TITLE V COMMON RULES,country of establishment,executive body,administrative authority
Article 137  Declaration and evidence of absence of an exclusion situation,"('administrative authority', 'significant place', 'country of establishment')",TITLE V COMMON RULES,administrative authority,significant place,country of establishment
Article 137  Declaration and evidence of absence of an exclusion situation,"('participant', 'main regulatory text', 'directive (eu) 2015/849')",TITLE V COMMON RULES,participant,main regulatory text,directive (eu) 2015/849
Article 137  Declaration and evidence of absence of an exclusion situation,"('participant', 'instance of', 'article 136(1)')",TITLE V COMMON RULES,participant,instance of,article 136(1)
Article 137  Declaration and evidence of absence of an exclusion situation,"('competent authority', 'main regulatory text', 'article 136(1)')",TITLE V COMMON RULES,competent authority,main regulatory text,article 136(1)
Article 138  Financial penalties,"('union', 'foundational text', 'article 137')",TITLE V COMMON RULES,union,foundational text,article 137
Article 138  Financial penalties,"('union', 'statement is subject of', 'union')",TITLE V COMMON RULES,union,statement is subject of,union
Article 139  Duration of exclusion and limitation period,"('olaf', 'authority', 'commission')",TITLE V COMMON RULES,olaf,authority,commission
Article 139  Duration of exclusion and limitation period,"('budget', 'main regulatory text', 'regulation (eu)')",TITLE V COMMON RULES,budget,main regulatory text,regulation (eu)
Article 139  Duration of exclusion and limitation period,"('enhanced cooperation', 'main regulatory text', 'regulation (eu')",TITLE V COMMON RULES,enhanced cooperation,main regulatory text,regulation (eu
Article 140  Publication of exclusion and financial penalties,"('data protection', 'main regulatory text', 'regulation')",TITLE V COMMON RULES,data protection,main regulatory text,regulation
Article 140  Publication of exclusion and financial penalties,"('final judgment', 'facet of', 'judgment')",TITLE V COMMON RULES,final judgment,facet of,judgment
Article 140  Publication of exclusion and financial penalties,"('data protection', 'main regulatory text', 'regulation (ec) no 45/2001')",TITLE V COMMON RULES,data protection,main regulatory text,regulation (ec) no 45/2001
Article 140  Publication of exclusion and financial penalties,"('data protection', 'amended by', '45/2001')",TITLE V COMMON RULES,data protection,amended by,45/2001
Article 141  Rejection from an award procedure,"('award', 'said to be the same as', 'article 133(1')",TITLE V COMMON RULES,award,said to be the same as,article 133(1
Article 142  The early-detection and exclusion system,"('commission', 'main regulatory text', 'regulation (ec)')",TITLE V COMMON RULES,commission,main regulatory text,regulation (ec)
Article 142  The early-detection and exclusion system,"('eppo', 'executive body', 'commission')",TITLE V COMMON RULES,eppo,executive body,commission
Article 142  The early-detection and exclusion system,"('cfsp', 'foundational text', 'article 63')",TITLE V COMMON RULES,cfsp,foundational text,article 63
Article 142  The early-detection and exclusion system,"('the budget', 'foundational text', 'article 63')",TITLE V COMMON RULES,the budget,foundational text,article 63
