Title,Articles,coreference_list_ready,coreference_paragraph_clean,triplets_paragraph_orig,triplets_paragraph_clean
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 24  Assigned revenue resulting from the participation of EFTA States in certain Union programmes ,"under article 82 of the eea agreement, the amounts of the annual participation of efta states, as confirmed to the commission by the joint committee of the european economic area in accordance with article 1(5) of protocol no 32 annexed to the eea agreement, shall give rise to the provision, at the start of the financial year, of the full amounts of the corresponding commitment appropriations and payment appropriations.",under article 82 of the eea agreement the amounts of the annual participation of efta states as confirmed to the commission by the joint committee of the european economic area in accordance with article 1(5) of protocol no 32 annexed to the eea agreement shall give rise to the provision at the start of the financial year of the full amounts of the corresponding commitment appropriations and payment appropriations.,"[['efta', 'foundational text', 'eea agreement']]",
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 24  Assigned revenue resulting from the participation of EFTA States in certain Union programmes ,the use of the revenue arising from the financial contribution of efta states shall be monitored separately.,the use of the revenue arising from the financial contribution of efta states shall be monitored separately.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 25  Donations ,"union institutions may accept any donation made to the union, such as income from foundations, subsidies, gifts and bequests.",union institutions may accept any donation made to the union such as income from foundations subsidies gifts and bequests.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 25  Donations ,"acceptance of a donation of a value of eur 50 000 or more which involves a financial charge, including follow-up costs, exceeding 10 % of the value of the donation made, shall be subject to the authorisation of the european parliament and of the council. the european parliament and the council shall act on the matter within two months of receiving a request for such an authorisation from the union institutions concerned. if no objection is made within that period, the union institutions concerned shall take a final decision regarding the acceptance of the donation. the union institutions concerned shall in the union institutions concerned request to the european parliament and of the council the council explain the financial charges entailed by the acceptance of donations made to the union.",acceptance of a donation of a value of eur 50 000 or more which involves a financial charge including followup costs exceeding 10  of the value of the donation made shall be subject to the authorisation of the european parliament and of the council. the european parliament and the council shall act on the matter within two months of receiving a request for such an authorisation from the union institutions concerned. if no objection is made within that period the union institutions concerned shall take a final decision regarding the acceptance of the donation. the union institutions concerned shall in the union institutions concerned request to the european parliament and of the council the council explain the financial charges entailed by the acceptance of donations made to the union.,"[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]","[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 26  Corporate sponsorship ,‘corporate sponsorship’ means an agreement by which a legal person supports in-kind an event or an activity for promotional or corporate social responsibility purposes.,corporate sponsorship means an agreement by which a legal person supports inkind an event or an activity for promotional or corporate social responsibility purposes.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 26  Corporate sponsorship ,"on the basis of specific internal rules, which shall be published on promotional or corporate social responsibility purposes respective websites, union institutions and bodies may exceptionally accept corporate sponsorship provided that: (a) there is due regard to the principles of non-discrimination, proportionality, equal treatment and transparency at all stages of the procedure for accepting corporate sponsorship; (b) it contributes to the positive image of the union and is directly linked to the core objective of an event or of an activity; (c) (c) does neither generate conflict of interests nor concern exclusively social events; (d) the event or activity is not exclusively financed through corporate sponsorship; (e) the service in return for corporate sponsorship is limited to the public visibility of the trademark or name of the sponsor; (f) the sponsor is not, at the time of the sponsorship procedure, in one of the situations referred to in articles 136(1) and 141(1) and is not registered as excluded in the database referred to in article 142(1).",on the basis of specific internal rules which shall be published on promotional or corporate social responsibility purposes respective websites union institutions and bodies may exceptionally accept corporate sponsorship provided that: there is due regard to the principles of nondiscrimination proportionality equal treatment and transparency at all stages of the procedure for accepting corporate sponsorship it contributes to the positive image of the union and is directly linked to the core objective of an event or of an activity does neither generate conflict of interests nor concern exclusively social events the event or activity is not exclusively financed through corporate sponsorship the service in return for corporate sponsorship is limited to the public visibility of the trademark or name of the sponsor the sponsor is not at the time of the sponsorship procedure in one of the situations referred to in articles 136(1) and 141(1) and is not registered as excluded in the database referred to in article 142(1).,,"[['union', 'instance of', 'union institutions and bodies'], ['union', 'official observer status in organisation', 'union institutions and bodies'], ['union institutions and bodies', 'instance of', 'union']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 26  Corporate sponsorship ,"where the value of corporate sponsorship exceeds eur 5 000, the sponsor shall be listed in a public register that includes information on the type of event or activity being sponsored.",where the value of corporate sponsorship exceeds eur 5 000 the sponsor shall be listed in a public register that includes information on the type of event or activity being sponsored.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 27  Rules on deductions and exchange rate adjustments ,"the following deductions may be made from payment requests which shall then be passed for payment of the net amount: (a) penalties imposed on parties to contracts or beneficiaries; (b) discounts, refunds and rebates on individual invoices and cost statements; (c) interest generated by pre-financing payments; (d) adjustments for amounts unduly paid.    the adjustments referred to in point (d) of the first subparagraph may be made, by means of direct deduction, against a new interim payment or payment of a balance to the same payee under the chapter, article and financial year in respect of which the excess payment was made. union accounting rules shall apply to the deductions referred to in points (c) and (d) of the first subparagraph.",the following deductions may be made from payment requests which shall then be passed for payment of the net amount: penalties imposed on parties to contracts or beneficiaries discounts refunds and rebates on individual invoices and cost statements interest generated by prefinancing payments adjustments for amounts unduly paid.the adjustments referred to in point of the first subparagraph may be made by means of direct deduction against a new interim payment or payment of a balance to the same payee under the chapter article and financial year in respect of which the excess payment was made. union accounting rules shall apply to the deductions referred to in points and of the first subparagraph.,"[['union', 'CITES Appendix', 'union'], ['union', 'instance of', 'financial year'], ['union', 'instance of', 'union'], ['union', 'part of', 'union']]",
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 27  Rules on deductions and exchange rate adjustments ,"the cost of products or services, provided to the union, incorporating taxes refunded by member states pursuant to protocol no 7 on the privileges and immunities of the european union, annexed to the teu and to the tfeu, shall be charged to the budget for the ex-tax amount.",the cost of products or services provided to the union incorporating taxes refunded by member states pursuant to protocol no 7 on the privileges and immunities of the european union annexed to the teu and to the tfeu shall be charged to the budget for the extax amount.,"[['union', 'executive body', 'teu']]","[['teu', 'foundational text', 'protocol no 7 on the privileges and immunities of the european union']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 27  Rules on deductions and exchange rate adjustments ,"the cost of products or services, provided to the union, incorporating taxes refunded by third countries on the basis of relevant agreements, may be charged to the budget for the ex-tax amount for any of the following amounts: (a) the ex-tax amount; (b) the tax-inclusive amount. in the case referred to in point (b) of the first subparagraph, subsequently reimbursed taxes shall be treated as internal assigned revenue.",the cost of products or services provided to the union incorporating taxes refunded by third countries on the basis of relevant agreements may be charged to the budget for the extax amount for any of the following amounts: the extax amount the taxinclusive amount. in the case referred to in point of the first subparagraph subsequently reimbursed taxes shall be treated as internal assigned revenue.,,"[['union', 'executive body', 'budget']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 27  Rules on deductions and exchange rate adjustments ,adjustments may be made in respect of exchange differences occurring in budget implementation. the final gain or loss shall be included in the balance for the financial year. chapter 6 principle of specification,adjustments may be made in respect of exchange differences occurring in budget implementation. the final gain or loss shall be included in the balance for the financial year. chapter 6 principle of specification,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 28  General provisions ,appropriations shall be earmarked for specific purposes by title and chapter. the chapters shall be further subdivided into articles and items.,appropriations shall be earmarked for specific purposes by title and chapter. the chapters shall be further subdivided into articles and items.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 28  General provisions ,"the commission and the other union institutions may transfer appropriations within the budget subject to the specific conditions laid down in articles 29 to 32. appropriations may only be transferred to budget lines for which the budget has authorised appropriations or which carry a token entry pro memoria. the limits referred to in articles 29, 30 and 31 shall be calculated at the time the request for transfer is made and with reference to the appropriations provided in the budget, including amending budgets. the amount to be taken into consideration for the purposes of calculating the limits referred to in articles 29, 30 and 31 shall be the sum of the transfers to be made on the budget line from which transfers are being made, after adjustment for earlier transfers made. the amount corresponding to the transfers which are carried out autonomously by the commission, or by any other union institution concerned without a decision of the european parliament and of the council, shall not be taken into consideration. proposals for transfers and all information for the european parliament and for the council concerning transfers made under articles 29, 30 and 31 shall be accompanied by appropriate and detailed supporting documents showing the most recent information available for the implementation of appropriations and estimates of requirements up to the end of the financial year, both for the budget lines to which the appropriations are to be transferred and for those from which the appropriations are to be taken.",the commission and the other union institutions may transfer appropriations within the budget subject to the specific conditions laid down in articles 29 to 32. appropriations may only be transferred to budget lines for which the budget has authorised appropriations or which carry a token entry pro memoria. the limits referred to in articles 29 30 and 31 shall be calculated at the time the request for transfer is made and with reference to the appropriations provided in the budget including amending budgets. the amount to be taken into consideration for the purposes of calculating the limits referred to in articles 29 30 and 31 shall be the sum of the transfers to be made on the budget line from which transfers are being made after adjustment for earlier transfers made. the amount corresponding to the transfers which are carried out autonomously by the commission or by any other union institution concerned without a decision of the european parliament and of the council shall not be taken into consideration. proposals for transfers and all information for the european parliament and for the council concerning transfers made under articles 29 30 and 31 shall be accompanied by appropriate and detailed supporting documents showing the most recent information available for the implementation of appropriations and estimates of requirements up to the end of the financial year both for the budget lines to which the appropriations are to be transferred and for those from which the appropriations are to be taken.,"[['union', 'executive body', 'commission'], ['union', 'executive body', 'commission'], ['union', 'legislative body', 'european parliament'], ['the council', 'instance of', 'council']]","[['union', 'executive body', 'commission'], ['budget', 'instance of', 'the budget'], ['union', 'executive body', 'commission'], ['union', 'legislative body', 'european parliament'], ['the council', 'country', 'union']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 29  Transfers by Union institutions other than the Commission ,"any union institution other than the commission may, within any union institution other than the commission own section of the budget, transfer appropri­ations: (a) from one title to another up to a maximum of 10 % of the appropriations for the financial year shown on the budget line from which the transfer is made; (b) from one chapter to another without limit.",any union institution other than the commission may within any union institution other than the commission own section of the budget transfer appropri­ations: from one title to another up to a maximum of 10  of the appropriations for the financial year shown on the budget line from which the transfer is made from one chapter to another without limit.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 29  Transfers by Union institutions other than the Commission ,"without prejudice to paragraph 4 of this article, three weeks before making a transfer, as referred to in paragraph 1, the union institution shall inform the european parliament and the council of the union institution intention to do so. in the event that duly justified objections are raised within that period by either the european parliament or the council, the procedure laid down in article 31 shall apply. l 193/40",without prejudice to paragraph 4 of this article three weeks before making a transfer as referred to in paragraph 1 the union institution shall inform the european parliament and the council of the union institution intention to do so. in the event that duly justified objections are raised within that period by either the european parliament or the council the procedure laid down in article 31 shall apply. l 19340,"[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]","[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 29  Transfers by Union institutions other than the Commission ,"any union institution other than the commission may propose to the european parliament and to the council, within the european parliament own section of the budget, transfers from one title to another exceeding the limit referred to in point (a) of paragraph 1 of this article. any union institution other than the commission may propose to the european parliament and to the council, within its own section of the budget, transfers from one title to another exceeding the limit referred to in point (a) of paragraph 1 of this article shall be subject to the procedure laid down in article 31.",any union institution other than the commission may propose to the european parliament and to the council within the european parliament own section of the budget transfers from one title to another exceeding the limit referred to in point of paragraph 1 of this article. any union institution other than the commission may propose to the european parliament and to the council within its own section of the budget transfers from one title to another exceeding the limit referred to in point of paragraph 1 of this article shall be subject to the procedure laid down in article 31.,"[['union', 'executive body', 'the commission'], ['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament'], ['union', 'executive body', 'the commission'], ['union', 'executive body', 'the commission'], ['union', 'executive body', 'commission'], ['union', 'legislative body', 'european parliament'], ['the council', 'country', 'union'], ['the council', 'country', 'union']]","[['union', 'executive body', 'the commission'], ['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament'], ['union', 'executive body', 'the commission'], ['union', 'executive body', 'the commission'], ['union', 'executive body', 'the commission'], ['union', 'executive body', 'commission'], ['union', 'legislative body', 'european parliament'], ['the council', 'country', 'union'], ['the council', 'country', 'union']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 29  Transfers by Union institutions other than the Commission ,"any union institution other than the commission may, within any union institution other own section of the budget, make transfers within articles without informing the european parliament and the council beforehand.",any union institution other than the commission may within any union institution other own section of the budget make transfers within articles without informing the european parliament and the council beforehand.,"[['union', 'executive body', 'commission'], ['union', 'legislative body', 'european parliament'], ['union', 'executive body', 'commission'], ['union', 'legislative body', 'european parliament']]","[['union', 'executive body', 'commission'], ['union', 'legislative body', 'european parliament'], ['union', 'executive body', 'commission'], ['union', 'legislative body', 'european parliament']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 30  Transfers by the Commission ,"the commission may, within the commission own section of the budget, autonomously: (a) transfer appropriations within each chapter; (b) with regard to expenditure on staff and administration which is common to several titles, transfer appropriations from one title to another up to a maximum of 10 % of the appropriations for the financial year shown on the budget line from which the transfer is made, and up to a maximum of 30 % of the appropriations for the financial year shown on the budget line to which the transfer is made; (c) with regard to operational expenditure, transfer appropriations between chapters within the same title up to a maximum of 10 % of the appropriations for the financial year shown on the budget line from which the transfer is made; (d) with regard to research and technological development appropriations implemented by the jrc, within the title of the budget relating to the ‘direct research’ policy area, transfer appropriations between chapters of up to a maximum of 15 % of the appropriations on the budget line from which the transfer is made; (e) with regard to research and technological development, transfer operational appropriations from one title to another, provided that the appropriations are used for the same purpose; (f) with regard to operational expenditure of the funds implemented under shared management, with the exception of the eagf, transfer appropriations from one title to another, provided that the appropriations concerned are for the same objective within the meaning of the regulation establishing the fund concerned or constitute technical assistance expenditure; (g) transfer appropriations from the budgetary item of a budgetary guarantee to the budgetary item of another budgetary guarantee, in the exceptional cases when the provisioned resources in the common provisioning fund of the latter are insufficient to pay a guarantee call and subject to the subsequent restoring of the amount transferred in accordance with the procedure set out in article 212(4). the expenditure referred to in point (b) of the first subparagraph of this paragraph shall cover, for each policy area, the items referred to in article 47(4). where the commission transfers eagf appropriations pursuant to the first subparagraph of this paragraph after 31 december, the commission shall take the commission decision by 31 january of the following financial year. the commission shall inform the european parliament and the council within two weeks after the commission decision on those transfers. three weeks before making those transfers referred to in point (b) of the first subparagraph of this paragraph, the commission shall inform the european parliament and the council of the commission intention to do so. in the event that duly justified objections are raised within that period by the european parliament or by the council, the procedure laid down in article 31 shall apply. by way of derogation from the fourth subparagraph, the commission may, during the last two months of the following financial year, autonomously transfer appropriations concerning expenditure on staff, external personnel and other agents from one title to another within the total limit of 5 % of the appropriations for the following financial year. the commission shall inform the european parliament and the council the council within two weeks after its decision on those transfers.",the commission may within the commission own section of the budget autonomously: transfer appropriations within each chapter with regard to expenditure on staff and administration which is common to several titles transfer appropriations from one title to another up to a maximum of 10  of the appropriations for the financial year shown on the budget line from which the transfer is made and up to a maximum of 30  of the appropriations for the financial year shown on the budget line to which the transfer is made with regard to operational expenditure transfer appropriations between chapters within the same title up to a maximum of 10  of the appropriations for the financial year shown on the budget line from which the transfer is made with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15  of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another provided that the appropriations are used for the same purpose with regard to operational expenditure of the funds implemented under shared management with the exception of the eagf transfer appropriations from one title to another provided that the appropriations concerned are for the same objective within the meaning of the regulation establishing the fund concerned or constitute technical assistance expenditure transfer appropriations from the budgetary item of a budgetary guarantee to the budgetary item of another budgetary guarantee in the exceptional cases when the provisioned resources in the common provisioning fund of the latter are insufficient to pay a guarantee call and subject to the subsequent restoring of the amount transferred in accordance with the procedure set out in article 212(4). the expenditure referred to in point of the first subparagraph of this paragraph shall cover for each policy area the items referred to in article 47(4). where the commission transfers eagf appropriations pursuant to the first subparagraph of this paragraph after 31 december the commission shall take the commission decision by 31 january of the following financial year. the commission shall inform the european parliament and the council within two weeks after the commission decision on those transfers. three weeks before making those transfers referred to in point of the first subparagraph of this paragraph the commission shall inform the european parliament and the council of the commission intention to do so. in the event that duly justified objections are raised within that period by the european parliament or by the council the procedure laid down in article 31 shall apply. by way of derogation from the fourth subparagraph the commission may during the last two months of the following financial year autonomously transfer appropriations concerning expenditure on staff external personnel and other agents from one title to another within the total limit of 5  of the appropriations for the following financial year. the commission shall inform the european parliament and the council the council within two weeks after its decision on those transfers.,"[['commission', 'foundational text', 'eagf'], ['the council', 'executive body', 'commission'], ['its', 'executive body', 'commission']]","[['financial year', 'instance of', 'financial year'], ['commission', 'foundational text', 'eagf'], ['its', 'executive body', 'commission']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 30  Transfers by the Commission ,"the commission may, within the commission own section of the budget, decide on the following transfers of appropriations from one title to another, provided the commission immediately informs the european parliament and the council.",the commission may within the commission own section of the budget decide on the following transfers of appropriations from one title to another provided the commission immediately informs the european parliament and the council.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 31  Transfer proposals submitted to the European Parliament and to the Council by Union institutions ,each union institution shall submit each union institution transfer proposals simultaneously to the european parliament and to the council.,each union institution shall submit each union institution transfer proposals simultaneously to the european parliament and to the council.,"[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]","[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 31  Transfer proposals submitted to the European Parliament and to the Council by Union institutions ,"the commission may submit proposals for transfers of payment appropriations to the funds implemented under shared management with the exception of the eagf to the european parliament and to the council the council by 10 january of the following financial year. the transfer of payment appropriations may be made from any budgetary item. in such cases, the six-week period referred to in paragraph 4 shall be reduced to three weeks. if the transfer of the payment appropriations is not approved or only partially approved by the european parliament and by the council, the corresponding part of the expenditure referred to in point (b) of article 10(5) shall be charged to the payment appropri­ations of the following financial year.",the commission may submit proposals for transfers of payment appropriations to the funds implemented under shared management with the exception of the eagf to the european parliament and to the council the council by 10 january of the following financial year. the transfer of payment appropriations may be made from any budgetary item. in such cases the sixweek period referred to in paragraph 4 shall be reduced to three weeks. if the transfer of the payment appropriations is not approved or only partially approved by the european parliament and by the council the corresponding part of the expenditure referred to in point of article 10(5) shall be charged to the payment appropri­ations of the following financial year.,"[['the council', 'executive body', 'commission'], ['the council', 'legislative body', 'european parliament'], ['the council', 'legislative body', 'european parliament'], ['the council', 'legislative body', 'european parliament']]","[['the council', 'executive body', 'commission']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 31  Transfer proposals submitted to the European Parliament and to the Council by Union institutions ,the european parliament and to the council the council shall take decisions on transfers of appropriations in accordance with paragraphs 4 to 8.,the european parliament and to the council the council shall take decisions on transfers of appropriations in accordance with paragraphs 4 to 8.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 31  Transfer proposals submitted to the European Parliament and to the Council by Union institutions ,"except in urgent circumstances, the european parliament and the council, the latter acting by qualified majority, shall deliberate upon each transfer proposal within six weeks of each transfer proposal receipt by both institutions. in urgent circumstances, the european parliament and to the council the council shall deliberate within three weeks of receipt of each transfer proposal.",except in urgent circumstances the european parliament and the council the latter acting by qualified majority shall deliberate upon each transfer proposal within six weeks of each transfer proposal receipt by both institutions. in urgent circumstances the european parliament and to the council the council shall deliberate within three weeks of receipt of each transfer proposal.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 31  Transfer proposals submitted to the European Parliament and to the Council by Union institutions ,"where the commission intends to transfer eagf appropriations in accordance with this article, the commission shall submit transfer proposals to the european parliament and to the council by 10 january of the following financial year. in such cases, the six-week period referred to in paragraph 4 shall be reduced to three weeks.",where the commission intends to transfer eagf appropriations in accordance with this article the commission shall submit transfer proposals to the european parliament and to the council by 10 january of the following financial year. in such cases the sixweek period referred to in paragraph 4 shall be reduced to three weeks.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 31  Transfer proposals submitted to the European Parliament and to the Council by Union institutions ,"a transfer proposal shall be approved or considered to be approved, if, within the six-week period, any of the following occurs: (a) the european parliament and to the council the council approve a transfer proposal; (b) either the european parliament or the council approves a transfer proposal and the other institution refrains from acting; (c) neither the european parliament nor the council takes a decision to amend or refuse each transfer proposal.",a transfer proposal shall be approved or considered to be approved if within the sixweek period any of the following occurs: the european parliament and to the council the council approve a transfer proposal either the european parliament or the council approves a transfer proposal and the other institution refrains from acting neither the european parliament nor the council takes a decision to amend or refuse each transfer proposal.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 31  Transfer proposals submitted to the European Parliament and to the Council by Union institutions ,"unless either the european parliament or the council requests otherwise, the six-week period referred to in paragraph 4 shall be reduced to three weeks in the following cases: (a) the transfer represents less than 10 % of the appropriations of the budget line from which the transfer is made and does not exceed eur 5 000 000; (b) the transfer concerns only payment appropriations and the overall amount of the transfer does not exceed eur 100 000 000.",unless either the european parliament or the council requests otherwise the sixweek period referred to in paragraph 4 shall be reduced to three weeks in the following cases: the transfer represents less than 10  of the appropriations of the budget line from which the transfer is made and does not exceed eur 5 000 000 the transfer concerns only payment appropriations and the overall amount of the transfer does not exceed eur 100 000 000.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 31  Transfer proposals submitted to the European Parliament and to the Council by Union institutions ,"if either the european parliament or the council has amended the amount of the transfer while the other institution has approved the transfer or refrains from acting, or if the european parliament and to the council the council have both amended the amount of the transfer, the lesser of the two amounts shall be deemed approved, unless the union institution concerned withdraws the union institution concerned transfer proposal.",if either the european parliament or the council has amended the amount of the transfer while the other institution has approved the transfer or refrains from acting or if the european parliament and to the council the council have both amended the amount of the transfer the lesser of the two amounts shall be deemed approved unless the union institution concerned withdraws the union institution concerned transfer proposal.,"[['the council', 'country', 'union'], ['the council', 'country', 'union'], ['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]","[['the council', 'country', 'union'], ['the council', 'country', 'union'], ['the council', 'country', 'union'], ['the council', 'executive body', 'council'], ['the council', 'executive body', 'council'], ['union', 'executive body', 'council'], ['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 32  Transfers subject to special provisions ,appropriations corresponding to assigned revenue may be transferred only if such revenue is used for the purpose for which it is assigned.,appropriations corresponding to assigned revenue may be transferred only if such revenue is used for the purpose for which it is assigned.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 32  Transfers subject to special provisions ,"decisions on transfers to allow the use of the emergency aid reserve shall be taken by the european parliament and by the council on a proposal from the commission. l 193/42   for the purposes of this paragraph, the procedure set out in article 31(3) and (4) shall apply. if the european parliament and by the council the council do not agree to a proposal from the commission and cannot reach a common position on the use of the emergency aid reservethe emergency aid reserve, the european parliament and by the council shall refrain from acting on a proposal from the commission. proposals for transfers from the emergency aid reserve shall be accompanied by appropriate and detailed supporting documents demonstrating: (a) the most recent information available for the implementation of appropriations and the estimate of requirements up to the end of the financial year for the budget line to which the transfer is to be made; (b) an analysis of the possibilities of reallocating appropriations. chapter 7 principle of sound financial management and performance",decisions on transfers to allow the use of the emergency aid reserve shall be taken by the european parliament and by the council on a proposal from the commission. l 19342 for the purposes of this paragraph the procedure set out in article 31(3) and (4) shall apply. if the european parliament and by the council the council do not agree to a proposal from the commission and cannot reach a common position on the use of the emergency aid reservethe emergency aid reserve the european parliament and by the council shall refrain from acting on a proposal from the commission. proposals for transfers from the emergency aid reserve shall be accompanied by appropriate and detailed supporting documents demonstrating: the most recent information available for the implementation of appropriations and the estimate of requirements up to the end of the financial year for the budget line to which the transfer is to be made an analysis of the possibilities of reallocating appropriations. chapter 7 principle of sound financial management and performance,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ","Article 33  Performance and principles of economy, efficiency and effectiveness ","appropriations shall be used in accordance with the principle of sound financial management, and thus be implemented respecting the following principles: (a) the principle of economy which requires that the resources used by the union institution concerned in the pursuit of its activities shall be made available in due time, in appropriate quantity and quality, and at the best price; (b) the principle of efficiency which concerns the best relationship between the resources employed, the activities undertaken and the achievement of objectives; (c) the principle of effectiveness which concerns the extent to which the objectives pursued are achieved through the activities undertaken.",appropriations shall be used in accordance with the principle of sound financial management and thus be implemented respecting the following principles: the principle of economy which requires that the resources used by the union institution concerned in the pursuit of its activities shall be made available in due time in appropriate quantity and quality and at the best price the principle of efficiency which concerns the best relationship between the resources employed the activities undertaken and the achievement of objectives the principle of effectiveness which concerns the extent to which the objectives pursued are achieved through the activities undertaken.,"[['union institution', 'part of', 'union']]",
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ","Article 33  Performance and principles of economy, efficiency and effectiveness ","in line with the principle of sound financial management, the use of appropriations shall focus on performance and for that purpose: (a) objectives for programmes and activities shall be established ex ante; (b) progress in the achievement of objectives shall be monitored with performance indicators; (c) progress in, and problems with, the achievement of objectives shall be reported to the european parliament and to the council in accordance with point (h) of the first subparagraph of article 41(3) and with point (e) of article 247(1).",in line with the principle of sound financial management the use of appropriations shall focus on performance and for that purpose: objectives for programmes and activities shall be established ex ante progress in the achievement of objectives shall be monitored with performance indicators progress in and problems with the achievement of objectives shall be reported to the european parliament and to the council in accordance with point of the first subparagraph of article 41(3) and with point of article 247(1).,"[['appropriations', 'part of', 'appropriations']]","[['the council', 'legislative body', 'european parliament']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ","Article 33  Performance and principles of economy, efficiency and effectiveness ","specific, measurable, attainable, relevant and time-bound objectives as referred to in paragraphs 1 and 2 and relevant, accepted, credible, easy and robust indicators shall be defined where relevant.",specific measurable attainable relevant and timebound objectives as referred to in paragraphs 1 and 2 and relevant accepted credible easy and robust indicators shall be defined where relevant.,"[['objectives', 'follows', 'indicators']]","[['objectives', 'follows', 'indicators'], ['indicators', 'follows', 'objectives']]"
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 34  Evaluations ,"programmes and activities which entail significant spending shall be subject to ex ante and retrospective evaluations, which shall be proportionate to the objectives and expenditure.",programmes and activities which entail significant spending shall be subject to ex ante and retrospective evaluations which shall be proportionate to the objectives and expenditure.,,
"TITLE II 
BUDGET AND BUDGETARY PRINCIPLES ",Article 34  Evaluations ,"ex ante evaluations supporting the preparation of programmes and activities shall be based on evidence on the performance of related programmes or activities and shall identify and analyse the issues to be addressed, the added value of union involvement, objectives, expected effects of different options and monitoring and evaluation arrangements. for major programmes or activities that are expected to have significant economic, environmental or social impacts, the ex ante evaluation may take the form of an impact assessment that, in addition to meeting the requirements set out in the first subparagraph, analyses the various options concerning the methods of implementation.",ex ante evaluations supporting the preparation of programmes and activities shall be based on evidence on the performance of related programmes or activities and shall identify and analyse the issues to be addressed the added value of union involvement objectives expected effects of different options and monitoring and evaluation arrangements. for major programmes or activities that are expected to have significant economic environmental or social impacts the ex ante evaluation may take the form of an impact assessment that in addition to meeting the requirements set out in the first subparagraph analyses the various options concerning the methods of implementation.,,
