title,relation,tail,title,article
head union delegation,subdelegate,to heads of union delegations and the results thereof in order to allow an authorising officer to make the statement of assurance provided for in article 74(9,TITLE IV BUDGET IMPLEMENTATION,Article 92  Rules applicable to authorising officers 
authorise officer,make,the statement of assurance provided for in article 74(9,TITLE IV BUDGET IMPLEMENTATION,Article 92  Rules applicable to authorising officers 
paragraph,apply,also to deputy heads of union delegations,TITLE IV BUDGET IMPLEMENTATION,Article 92  Rules applicable to authorising officers 
union delegation,act,when as authorising officers by subdel­egation in the absence of heads of union delegations,TITLE IV BUDGET IMPLEMENTATION,Article 92  Rules applicable to authorising officers 
regard protection whistleblower infringement regulation provision relate financial management check operation result act omission member staff,refer,the appointing authority in charge of disciplinary matters the authorising officer responsible including heads of union delegations and prejudice to the powers of olaf and to the administrative autonomy of union institutions union bodies european offices or bodies or persons entrusted with the implementation of specific actions in the cfsp pursuant to title v of the teu in respect of members of their staff and with due regard to the protection of whistleblowers any infringement of this regulation or of a provision relating to financial management or the checking of operations resulting from an act or omission of a member of staff deputies in prejudice to the powers of olaf and to the administrative autonomy of union institutions union bodies european offices or bodies or persons entrusted with the implementation of specific actions in the cfsp pursuant to title v of the teu in respect of members of their staff and with due regard to the protection of whistleblowers any infringement of this regulation or of a provision relating to financial management or the checking of operations resulting from an act or omission of a member of staff absence acting as authorising officers by subdelegation in accordance with article 60(2) without prejudice to the powers of olaf and to the administrative autonomy of union institutions union bodies european offices or bodies or persons entrusted with the implementation of specific actions in the cfsp pursuant to title v of the teu in respect of members of union bodies european offices or bodies or persons staff and for an opinion to the panel referred to in article 143 by any of the following:,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,where to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
appoint authority charge disciplinary matter,request,the panel referred to in article 143s opinion on the case,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,to in article 143s opinion on the case,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
request opinion panel,refer,to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
request opinion panel,accompany,by a description of the facts and the act or omission which the panel referred to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,which the panel referred to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
request opinion panel,ask,to assess as well as by relevant supporting documents including reports of any investigation which has taken place,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
information,produce,in anonymised form,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
notification,undermine,the pursuit of further investigations insofar seriously,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
additional information,receive,a financial irregularity,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
union institution union body european office body person concern,decide,on the appropriate followup actions in accordance with the staff regulations,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,systemic problems the panel referred to in article 143 to in article 143 detects,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,where to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
representative appoint authority charge disciplinary matter union institution union body european office body person concern      member appoint staff committee union institution union body european office body person,concern,a member of the legal service of the union institution employing the member of staff,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,where to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,have,no investigative powers,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
union institution union body european office body person concern,cooperate,with the panel,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
union institution union body european office body person concern,refer,to in article 143 with a view to ensuring that the panel referred to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
union institution union body european office body person concern,have,all the information necessary for giving the panel referred to in article 143 opinion,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
panel,refer,where to in article 143,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
case,be,a matter for olaf,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
member state,support,the union fully in the enforcement of any liability under article 22 of the staff regulations of temporary staff to whom point of article 2 of the conditions of employment of other servants of the european union applies,TITLE IV BUDGET IMPLEMENTATION,Article 93  Treatment of financial irregularities on the part of a member of staff 
accounting officer,be,liable to disciplinary action and payment of compensation,TITLE IV BUDGET IMPLEMENTATION,Article 94  Rules applicable to accounting officers 
accounting officer,lay,in and in accordance with the procedures in the staff regulations,TITLE IV BUDGET IMPLEMENTATION,Article 94  Rules applicable to accounting officers 
accounting officer,become,liable in particular as a result of any of the following forms of misconduct on his or her part:,TITLE IV BUDGET IMPLEMENTATION,Article 94  Rules applicable to accounting officers 
accounting officer,account,recovering or paying amounts which are not in conformity with the corresponding recovery or payment orders failing to collect revenue due,TITLE IV BUDGET IMPLEMENTATION,Article 94  Rules applicable to accounting officers 
impr administrator,become,liable in particular as a result of any of the following forms of misconduct on an imprest administrator or an imprest administrator part:,TITLE IV BUDGET IMPLEMENTATION,Article 95  Rules applicable to imprest administrators 
impr administrator,make,making payments to persons other than those entitled to such payments failing to collect revenue due,TITLE IV BUDGET IMPLEMENTATION,Article 95  Rules applicable to imprest administrators 
estimate revenue constitute resource refer,enter,in the budget in euro,TITLE IV BUDGET IMPLEMENTATION,Article 96  Own resources 
correspond resource shall available accordance regulation eu euratom 6092014,make,in accordance with regulation (eu euratom,TITLE IV BUDGET IMPLEMENTATION,Article 96  Own resources 
authorise officer,draw,a schedule indicating when the own resources defined in decision 2014335eu euratom will be made available to the commission,TITLE IV BUDGET IMPLEMENTATION,Article 96  Own resources 
resource define decision 2014335eu euratom,make,when,TITLE IV BUDGET IMPLEMENTATION,Article 96  Own resources 
resource,recover,in accordance with the rules adopted pursuant to decision 2014335eu,TITLE IV BUDGET IMPLEMENTATION,Article 96  Own resources 
authorise officer,issue,a recovery order for credits and debits for accounting purposes to the account for own resources,TITLE IV BUDGET IMPLEMENTATION,Article 96  Own resources 
authorise officer,refer,to in regulation (eu euratom),TITLE IV BUDGET IMPLEMENTATION,Article 96  Own resources 
authorise officer responsible,have,sufficient and reliable information in respect of any measure or situation which may give rise to an amount being owed to the union when,TITLE IV BUDGET IMPLEMENTATION,Article 97  Estimate of amounts receivable 
authorise officer responsible,make,an estimate of the amount,TITLE IV BUDGET IMPLEMENTATION,Article 97  Estimate of amounts receivable 
recovery order,draw,for the same amount as the original estimate of amounts,TITLE IV BUDGET IMPLEMENTATION,Article 97  Estimate of amounts receivable 
estimate receivable shall member states available commission amount resource define decision 2014335eu euratom pay fix interval member state,make,by way of derogation from paragraph 1,TITLE IV BUDGET IMPLEMENTATION,Article 97  Estimate of amounts receivable 
member state,make,available to the commission,TITLE IV BUDGET IMPLEMENTATION,Article 97  Estimate of amounts receivable 
authorise officer responsible,issue,a recovery order in respect of those amounts,TITLE IV BUDGET IMPLEMENTATION,Article 97  Estimate of amounts receivable 
debt,exist,determine or verify the reality and the amount of the debt and verify the conditions according to which,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
debt,be,due,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
establishment receivable,constitute,recognition of the right of the union in respect of a debtor and establishment of entitlement,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
establishment receivable,demand,that the debtor pay the debt,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
debtor,pay,the debt,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
authorise officer responsible,recover,a fixed amount,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
waiver procedure,carry,where immediately in accordance with the second subparagraph of paragraph,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
recovery order debit note,draw,by the authorising officer responsible,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
authorise officer responsible,send,the debit note immediately after establishing a fixed amount and at the latest within a period of five years from the time when the union institution was in normal circumstances in a position to claim the union institution debt,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
union institution,be,when in normal circumstances in a position to claim the union institution debt,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
period,apply,where the authorising officer responsible establishes that despite the efforts which the union institution has made the delay in acting was caused by the debtors conduct,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
union institution,make,which the delay in acting was caused by the debtors,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
authorise officer,conduct,despite the efforts which the union institution has made the delay in acting was caused by the debtors,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
authorise officer responsible,establish,an amount receivable,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
authorise officer responsible,ensure,that: the amount receivable is certain meaning that it is not subject to any condition the amount receivable is fixed expressed precisely in cash terms the amount receivable is due and is not subject to any payment time the particulars of the debtor are correct the amount receivable is booked to the correct budgetary item the supporting documents are in order and the principle of sound financial management is complied with in particular with regard to the criteria referred to in point or of the first subparagraph of article 101(2),TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
particular debtor,be,correct,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
support document,be,in order,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
principle sound financial management,comply,with in particular with regard to the criteria referred to in point or of the first subparagraph of article 101(2,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
debit note,be,to inform the debtor that: the union has established the amount receivable    if payment of the debt is made within the deadline as specified in the debit note,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
union,establish,the amount,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
payment debt,make,within the deadline,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
payment debt,specify,in the debit note,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
default interest,be,due failing payment of the debt within the deadline referred to in point of this subparagraph,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
debt,bear,interest at the rate referred to in article 99,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
union institution,effect,recovery without any prejudice to any specific regulations applicable failing payment of the debt by the deadline referred to in point either by offsetting or by enforcement of any guarantee lodged in advance the accounting officer may in exceptional circumstances effect recovery by offsetting,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
deadline,refer,to in point where it is necessary to protect the financial interests of the union when he or she has justified grounds to believe that the amount due to the union would be lost after the debtor has been informed of the reasons and date of the recovery by offsetting if after taking all the steps set out in points to of this subparagraph the amount has not been recovered in full the union institution,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
debtor,inform,of the reasons and date of the recovery by offsetting if after taking all the steps set out in points to of this subparagraph the amount has not been recovered in full the union institution,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
debit note,effect,recovery by enforcement of a decision secured either in accordance with article 100(2) or by legal action,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
debt,fall,under the cases referred to in point or of the first subparagraph of article 101(2),TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
debit note,send,decide to directly waive recovery in accordance with article 101 without sending a debit note in agreement with the accounting officer in accordance with paragraph 2 of this article the authorising officer shall after having established the amount due to the union receivable,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
authorise officer,print,the debit note in all other cases,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
authorise officer,send,the debit note to the debtor,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
authorise officer,inform,of the dispatch of the debit note through the financial information system,TITLE IV BUDGET IMPLEMENTATION,Article 98  Establishment of amounts receivable 
receivable repay deadline refer point subparagraph article 98(4,bear,interest without prejudice to any specific provisions deriving from the application of specific regulations in accordance with paragraphs 2 and 3 of this article,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
interest rate amount receivable,repay,on the deadline referred to in point of the first subparagraph of article 98(4,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
deadline fall,increase,in which by: eight percentage points where the obligating event is a supply contract or a service contract three and a half percentage points in all other cases,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
obligate event,be,a supply contract or a service contract three and a half percentage points in all other cases where,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
interest,calculate,from the calendar day following the deadline referred to in point of the first subparagraph of article 98(4) up to the calendar day on which the debt is repaid in full,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
debt,repay,on which in full,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
recovery order,correspond,to the amount of the default interest,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
interest,receive,when actually,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
decision impose fine penalty,adopt,in which,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
debtor,provide,a financial guarantee which is accepted by the accounting officer instead of where,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
court justice european union exercise european union competence article 261 tfeu,increase,the amount of a fine or other penalty interest on the amount of the increase where,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
overall interest rate,be,negative where,TITLE IV BUDGET IMPLEMENTATION,Article 99  Default interest 
authorise officer responsible,shall,by issuing a recovery order,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
authorise officer responsible shall issue recovery order,instruct,the authorising officer responsible,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
union institution,establish,an amount as being receivable from persons other than member states formally by means of a decision which shall be enforceable within the meaning of article 299,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
efficient timely protection financial interest union,require,other union institutions may in exceptional circumstances request the commission to adopt such an enforceable decision for other union institutions benefit with respect to claims arising in relation to staff or in relation to members or former members of a union institution so provided that other union institutions have agreed with the commission on the practical modalities for the application of this article,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
union institution,agree,with the commission on the practical modalities for the application of this article,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
exceptional circumstance,deem,to exist when there is no prospect of recovery of the debt by the union institution concerned by means of a voluntary payment or by means of offsetting as provided for in article 101(1,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
amount claim,enter,in the section of the budget relating to the union institution concerned which shall act as authorising officer,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
revenue,enter,as general revenue except if the revenue constitutes assigned revenue as provided for in article 21(3,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
revenue constitute,assign,revenue,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
revenue constitute,provide,for in article 21(3,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
request union institution,inform,the commission of any event likely to alter the recovery,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
request union institution,intervene,in support of the commission in the event of an appeal against a decision which shall be enforceable within the meaning of article 299,TITLE IV BUDGET IMPLEMENTATION,Article 100  Authorisation of recovery 
accounting officer,act,responsible on recovery orders for amounts receivable duly established by the authorising officer,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
accounting officer,exercise,due diligence,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
accounting officer,ensure,that the union receives the union revenue and shall ensure that the unions rights are safeguarded,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
union,receive,the union revenue,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
union,ensure,that the unions rights are safeguarded,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
partial reimbursement debtor subject recovery order,post,first on the oldest entitlement,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
partial reimbursement debtor subject recovery order,specify,otherwise by the debtor,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
partial payment,cover,the interest first,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
accounting officer,recover,amounts due to the budget by offsetting the accounting officer in accordance with article 102,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
accounting officer,waive,recovery of all or part of an established amount receivable only in the following cases: where the foreseeable cost of recovery would exceed the amount to be recovered and the waiver would not harm the image of the union where the amount receivable cannot be recovered in view of the amount receivable age of delay in the dispatch of the debit note in the terms defined in article 98(2) of the insolvency of the debtor or of any other insolvency proceedings where recovery is inconsistent with the principle of proportionality,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
foreseeable cost recovery,exceed,the amount to be recovered where,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
waiver,harm,the image of the union where the amount receivable cannot be recovered in view of the amount receivable age of delay in the dispatch of the debit note in the terms defined in article 98(2) of the insolvency of the debtor or of any other insolvency proceedings where recovery is inconsistent with the principle of proportionality,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
recovery,be,inconsistent with the principle of proportionality where,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
accounting officer responsible plan waive partially waive recovery establish receivable accounting officer accounting officer,ensure,that the waiver is in order and is in accordance with the principles of sound financial management and proportionality,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
waiver,be,in order,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
waiver,be,in accordance with the principles of sound financial management and proportionality,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
accounting officer,delegate,the power to take the decision to waive recovery,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
authorise officer responsible,act,in accordance with predetermined procedures established within the authorising officer responsible or the authorising officer responsible union institution,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
waive recovery,have,that on the operation of the union and the union financial interests,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
distortion competition cause waive recovery,be,the debt to be recovered in full depending on the circumstances of the case the authorising officer responsible shall where appropriate take the following additional criteria into account,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
debt,recover,in full,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
union institution,send,a report on the waivers granted by the council pursuant to paragraphs to the european parliament and to the council,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
information waiver eur 60 000,provide,as a total amount,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
report waiver grant pursuant,annex,in the case of the commission to the summary of the annual activity reports referred to in article 74(9,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
authorise officer responsible,cancel,an established amount receivable in full or in part,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
partial cancellation establish receivable,imply,the waiver of the remaining established union entitlement,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
authorise officer responsible,cancel,totally or partially the established amount in the event of a mistake,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
authorise officer responsible,include,adequate reasons,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
union institution,lie,the conditions and procedure for delegating the power to cancel an established amount receivable,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
member state,have,primary responsibility for carrying out controls and audits and for recovering amounts unduly spent as provided for in sectorspecific rules,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
account member state,be,exempt from financial corrections by the commission concerning those irregularities,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
amount,identify,where precisely,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
criterion establish financial correction,lay,in sectorspecific rules,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
methodology apply,lay,in accordance with sector specific rules with a view to enabling the commission to protect the financial interests of the union,TITLE IV BUDGET IMPLEMENTATION,Article 101  Rules on recovery 
debtor,have,a claim on the union or on an executive agency where,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
debtor,implement,the budget that is certain within the meaning of point of article 98(3) of a fixed amount and when,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
accounting officer,shall,after expiry of the deadline,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
accounting officer,justify,grounds to believe that the amount due to the union would be lost the accounting officer may recover by offsetting before the expiry of the deadline referred to in point of the first subparagraph of article 98(4 where,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
union,lose,the accounting officer,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
accounting officer,recover,also by offsetting before the expiry of the deadline,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
accounting officer,refer,to in point of first subparagraph of article 98(4),TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
debtor,agree,when,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
accounting officer,consult,the accounting officer before proceeding with any recovery in accordance with paragraph 1 of this article,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
accounting officer,inform,the debtors in accordance with article 133,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
accounting officer,concern,including of the means of redress,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
debtor,be,a national authority or one of l administrative entities where,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
accounting officer,inform,the member state concerned of the accounting officer or her intention to resort to recovery by offsetting at least 10 working days in advance of proceeding with it also,TITLE IV BUDGET IMPLEMENTATION,Article 102  Recovery by offsetting 
accounting officer,inform,the authorising officer without prejudice to article 102,TITLE IV BUDGET IMPLEMENTATION,Article 103  Recovery procedure failing voluntary payment 
recovery method,refer,where to in paragraph,TITLE IV BUDGET IMPLEMENTATION,Article 103  Recovery procedure failing voluntary payment 
1 article,use,without prejudice to article 102 where the recovery method referred to in paragraph,TITLE IV BUDGET IMPLEMENTATION,Article 103  Recovery procedure failing voluntary payment 
debtor,fail,to pay in response to a letter of formal notice sent by the accounting officer,TITLE IV BUDGET IMPLEMENTATION,Article 103  Recovery procedure failing voluntary payment 
accounting officer,effect,recovery by enforcement of a decision secured either in accordance with article 100(2) or by legal action,TITLE IV BUDGET IMPLEMENTATION,Article 103  Recovery procedure failing voluntary payment 
accounting officer,allow,additional time for payment only at the written request of the debtor with due indication of the reasons,TITLE IV BUDGET IMPLEMENTATION,Article 104  Additional time for payment 
accounting officer,provide,that the following conditions are fulfilled,TITLE IV BUDGET IMPLEMENTATION,Article 104  Additional time for payment 
debtor,undertake,the accounting officer may in collaboration with the authorising officer responsible allow additional time for payment only at the written request of the debtor with due indication of the reasons and provided that the following conditions are fulfilled,TITLE IV BUDGET IMPLEMENTATION,Article 104  Additional time for payment 
debtor,lodge,a financial guarantee covering the debt outstanding in both the principal sum and the interest which is accepted by the accounting officer of the union institution,TITLE IV BUDGET IMPLEMENTATION,Article 104  Additional time for payment 
accounting officer,waive,the requirement of a guarantee referred to in point of the first paragraph in exceptional circumstances following a request by the debtor,TITLE IV BUDGET IMPLEMENTATION,Article 104  Additional time for payment 
debtor,be,willing and able to make the payment in the additional time period when on the basis of the accounting officer or her assessment,TITLE IV BUDGET IMPLEMENTATION,Article 104  Additional time for payment 
debtor,be,able to lodge such guarantee and is in a situation of financial distress,TITLE IV BUDGET IMPLEMENTATION,Article 104  Additional time for payment 
application decision 2014335eu euratom entitlement union respect party entitlement party respect union,be,subject to a limitation period of five years without prejudice to the provisions of specific regulations and,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
limitation period entitlement union respect party,begin,to run on the expiry of the deadline,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
limitation period entitlement union respect party,refer,to in point of the first subparagraph of article 98(4,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
limitation period entitlement union respect party,begin,to run on the date on which the payment of the third partys entitlement is due according to the corresponding legal commitment,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
payment party entitlement,be,due according to the corresponding legal commitment on which,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
limitation period entitlement union respect party,interrupt,by any act of a union institution or a member state acting at the request of a union institution notified to the third party and aiming at recovering the debt,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
limitation period entitlement union respect party,interrupt,by any act notified to the union by the union creditors or on behalf of the union creditors aiming at recovering the debt,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
new limitation period year,begin,to run on the day following the interruptions referred to in paragraph,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
new limitation period year,begin,to run,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
judgment have force re judicata,be,an extrajudicial settlement between the same parties on the same action,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
accounting officer,allow,the debtor additional time for payment in accordance with article 104 where,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
new limitation period year,begin,to run on the day following the expiry of the extended time for payment,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
entitlement union,recover,after the expiry of the limitation period,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
entitlement union,provide,for in paragraphs,TITLE IV BUDGET IMPLEMENTATION,Article 105  Limitation period 
recovery proceeding,conduct,where,TITLE IV BUDGET IMPLEMENTATION,Article 106  National treatment for entitlements of the Union 
amount receive way fine penalty sanction accrue interest income generate amount receive way fine,enter,in the budget as long as the decisions imposing amounts received by way of fines other penalties and sanctions and any accrued interest or other income generated by them are,TITLE IV BUDGET IMPLEMENTATION,"Article 107  Fines, other penalties, sanctions and accrued interest imposed by Union institutions "
