Title,Articles,coreference_list_ready,coreference_paragraph_clean,triplets_clean_parag
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 76  Powers and duties of Heads of Union Delegations ,"if heads of union delegations find heads of union delegations in a situation as referred to in article 74(8), heads of union delegations shall refer the matter to the panel referred to in article 143. in the event of any illegal activity, fraud or corruption which may harm the interests of the union, heads of union delegations shall inform the authorities and bodies designated by the applicable legislation.",if heads of union delegations find heads of union delegations in a situation as referred to in article 74(8) heads of union delegations shall refer the matter to the panel referred to in article 143. in the event of any illegal activity fraud or corruption which may harm the interests of the union heads of union delegations shall inform the authorities and bodies designated by the applicable legislation.,"[[{'head': 'fraud', 'type': 'subclass of', 'tail': 'corruption'}], [{'head': 'fraud', 'type': 'subclass of', 'tail': 'illegal activity'}], [{'head': 'fraud', 'type': 'has effect', 'tail': 'corruption'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 76  Powers and duties of Heads of Union Delegations ,"heads of union delegations acting as authorising officers by subdelegation in accordance with article 60(2) shall report to officers authorising officer by delegation so that the latter can integrate officers reports in their authorising officer or her annual activity report referred to in article 74(9). the reports of heads of union delegations shall include information on the efficiency and effectiveness of internal control systems put in place in heads of union delegations delegation, as well as on the management of operations subdelegated to heads of union delegations, and provide the assurance referred to in the third subparagraph of article 92(5). the reports of heads of union delegations shall be annexed to the annual activity report of the authorising officer by delegation, and shall be made available to the european parliament and to the council having due regard, where appropriate, to the european parliament and to the council confidentiality. heads of union delegations shall fully cooperate with union institutions involved in the discharge procedure and provide, as appropriate, any necessary additional information. in this context, the european parliament and to the council may be requested to attend meetings of the relevant bodies and assist the authorising officer by delegation responsible. heads of union delegations acting as authorising officers by subdelegation in accordance with article 60(2) shall reply to any request by the authorising officer by delegation of the commission at the commission’s own request or, in the context of discharge, at the request of the european parliament. the commission shall ensure that the subdelegating of powers to heads of union delegations is not detrimental to the discharge procedure under article 319 tfeu.",heads of union delegations acting as authorising officers by subdelegation in accordance with article 60(2) shall report to officers authorising officer by delegation so that the latter can integrate officers reports in their authorising officer or her annual activity report referred to in article 74(9). the reports of heads of union delegations shall include information on the efficiency and effectiveness of internal control systems put in place in heads of union delegations delegation as well as on the management of operations subdelegated to heads of union delegations and provide the assurance referred to in the third subparagraph of article 92(5). the reports of heads of union delegations shall be annexed to the annual activity report of the authorising officer by delegation and shall be made available to the european parliament and to the council having due regard where appropriate to the european parliament and to the council confidentiality. heads of union delegations shall fully cooperate with union institutions involved in the discharge procedure and provide as appropriate any necessary additional information. in this context the european parliament and to the council may be requested to attend meetings of the relevant bodies and assist the authorising officer by delegation responsible. heads of union delegations acting as authorising officers by subdelegation in accordance with article 60(2) shall reply to any request by the authorising officer by delegation of the commission at the commissions own request or in the context of discharge at the request of the european parliament. the commission shall ensure that the subdelegating of powers to heads of union delegations is not detrimental to the discharge procedure under article 319 tfeu.,"[[{'head': 'european parliament', 'type': 'has part', 'tail': 'council'}, {'head': 'council', 'type': 'part of', 'tail': 'european parliament'}], [{'head': 'european parliament', 'type': 'has part', 'tail': 'council'}], [{'head': 'european parliament', 'type': 'part of', 'tail': 'european parliament'}, {'head': 'european parliament', 'type': 'has part', 'tail': 'european parliament'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 76  Powers and duties of Heads of Union Delegations ,"paragraphs 1, 2 and 3 shall also apply to deputy heads of union delegations when union delegations act as authorising officers by subdelegation in the absence of heads of union delegations. s e c t i o n 3 a c c o u n t i n g o f f i c e r",paragraphs 1 2 and 3 shall also apply to deputy heads of union delegations when union delegations act as authorising officers by subdelegation in the absence of heads of union delegations. s e c t i o n 3 a c c o u n t i n g o f f i c e r,"[[{'head': 'subdelegation', 'type': 'subclass of', 'tail': 'union delegation'}], [{'head': 'subdelegation', 'type': 'subclass of', 'tail': 'union delegate'}], [{'head': 'subdelegation', 'type': 'subclass of', 'tail': 'union delegations'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 77  Powers and duties of the accounting officer ,"each union institution shall appoint an accounting officer who shall be responsible in each union institution for the following: (a) properly implementing payments, collecting revenue and recovering amounts established as being receivable; l 193/66   (b) preparing and presenting the accounts in accordance with title xiii; (c) keeping the accounts in accordance with articles 82 and 84; (d) laying down the accounting rules, procedures and the chart of accounts, in accordance with articles 80 to 84; (e) laying down and validating the accounting systems and, where appropriate, validating systems laid down by the authorising officer to supply or justify accounting information; (f) treasury management. with respect to the tasks referred to in point (e) of the first subparagraph, the authorising officer shall be empowered to verify at any time compliance with the validation criteria.",each union institution shall appoint an accounting officer who shall be responsible in each union institution for the following: properly implementing payments collecting revenue and recovering amounts established as being receivable l 19366 preparing and presenting the accounts in accordance with title xiii keeping the accounts in accordance with articles 82 and 84 laying down the accounting rules procedures and the chart of accounts in accordance with articles 80 to 84 laying down and validating the accounting systems and where appropriate validating systems laid down by the authorising officer to supply or justify accounting information treasury management. with respect to the tasks referred to in point of the first subparagraph the authorising officer shall be empowered to verify at any time compliance with the validation criteria.,"[[{'head': 'chart of accounts', 'type': 'part of', 'tail': 'accounting'}], [{'head': 'revenue', 'type': 'subclass of', 'tail': 'payment'}], [{'head': 'chart of accounts', 'type': 'facet of', 'tail': 'accounting'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 77  Powers and duties of the accounting officer ,"the responsibilities of the accounting officer of the eeas shall concern only the section of the budget relating to the eeas as implemented by the eeas. the authorising officer shall remain responsible for the entire section of the budget relating to the commission, including accounting operations relating to appropriations subdelegated to heads of union delegations. the authorising officer the commission shall also act as the accounting officer of the eeas in respect of the implementation of the section of the budget relating to the eeas.",the responsibilities of the accounting officer of the eeas shall concern only the section of the budget relating to the eeas as implemented by the eeas. the authorising officer shall remain responsible for the entire section of the budget relating to the commission including accounting operations relating to appropriations subdelegated to heads of union delegations. the authorising officer the commission shall also act as the accounting officer of the eeas in respect of the implementation of the section of the budget relating to the eeas.,"[[{'head': 'appropriations', 'type': 'part of', 'tail': 'budget'}], [{'head': 'budget', 'type': 'has part', 'tail': 'appropriations'}, {'head': 'appropriations', 'type': 'part of', 'tail': 'budget'}], [{'head': 'appropriations subdelegated', 'type': 'part of', 'tail': 'budget'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 78  Appointment and termination of duties of the accounting officer ,each union institution shall appoint an accounting officer from officials subject to the staff regulations. an accounting officer shall be chosen by each union institution on the grounds of an accounting officer or an accounting officer particular competence as evidenced by diplomas or by equivalent professional experience.,each union institution shall appoint an accounting officer from officials subject to the staff regulations. an accounting officer shall be chosen by each union institution on the grounds of an accounting officer or an accounting officer particular competence as evidenced by diplomas or by equivalent professional experience.,"[[{'head': 'accounting officer', 'type': 'instance of', 'tail': 'professional'}], [{'head': 'diploma', 'type': 'instance of', 'tail': 'professional experience'}], [{'head': 'accounting officer', 'type': 'instance of', 'tail': 'professional experience'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 78  Appointment and termination of duties of the accounting officer ,"two or more union institutions or bodies may appoint an accounting officer. in such case, two or more union institutions or bodies shall make the necessary arrangements in order to avoid any conflict of interests.",two or more union institutions or bodies may appoint an accounting officer. in such case two or more union institutions or bodies shall make the necessary arrangements in order to avoid any conflict of interests.,"[[{'head': 'union', 'type': 'subclass of', 'tail': 'institutions'}], [{'head': 'union institutions', 'type': 'subclass of', 'tail': 'bodies'}], [{'head': 'union institutions', 'type': 'part of', 'tail': 'union'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 78  Appointment and termination of duties of the accounting officer ,a trial balance shall be drawn up without delay in the event of termination of the duties of an accounting officer.,a trial balance shall be drawn up without delay in the event of termination of the duties of an accounting officer.,"[[{'head': 'accounting officer', 'type': 'instance of', 'tail': 'duties'}], [{'head': 'accounting officer', 'type': 'subclass of', 'tail': 'duties'}], [{'head': 'accounting', 'type': 'practiced by', 'tail': 'officer'}, {'head': 'officer', 'type': 'field of this occupation', 'tail': 'accounting'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 78  Appointment and termination of duties of the accounting officer ,"the trial balance accompanied by a hand-over report shall be transmitted to an accounting officer by the accounting officer who is terminating an accounting officer or an accounting officer duties or, if it is not possible, by an official in an accounting officer or an accounting officer department. an accounting officer shall sign the trial balance in acceptance within one month from the date of transmission and may make reservations. the hand-over report shall contain the result of the trial balance and any reservations made.",the trial balance accompanied by a handover report shall be transmitted to an accounting officer by the accounting officer who is terminating an accounting officer or an accounting officer duties or if it is not possible by an official in an accounting officer or an accounting officer department. an accounting officer shall sign the trial balance in acceptance within one month from the date of transmission and may make reservations. the handover report shall contain the result of the trial balance and any reservations made.,"[[{'head': 'accounting officer', 'type': 'subclass of', 'tail': 'accounting officer'}], [{'head': 'accounting officer', 'type': 'field of this occupation', 'tail': 'accounting officer'}], [{'head': 'accounting officer', 'type': 'field of this occupation', 'tail': 'accounting officer'}, {'head': 'accounting officer', 'type': 'practiced by', 'tail': 'accounting officer'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 79  Powers which may be delegated by the accounting officer ,"the accounting officer may, in the performance of the accounting officer or the accounting officer duties, delegate certain tasks to subordinate staff and to imprest administrators appointed in accordance with article 89(1). the instrument of delegation shall set out certain tasks.",the accounting officer may in the performance of the accounting officer or the accounting officer duties delegate certain tasks to subordinate staff and to imprest administrators appointed in accordance with article 89(1). the instrument of delegation shall set out certain tasks.,"[[{'head': 'imprest', 'type': 'subclass of', 'tail': 'administrators'}], [{'head': 'accounting officer', 'type': 'field of this occupation', 'tail': 'accounting officer duties'}, {'head': 'accounting officer duties', 'type': 'practiced by', 'tail': 'accounting officer'}], [{'head': 'administrator', 'type': 'subclass of', 'tail': 'staff'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 80  Accounting rules ,"the accounting rules to be applied by union institutions, european offices and the agencies and union bodies referred to in section 2 of chapter 3 of this title shall be based on internationally accepted accounting standards for the public sector. the accounting rules to be applied by union institutions, european offices and the agencies and union bodies shall be adopted by the accounting officer of the commission following consultation with the accounting officers of other union institutions, european offices and union bodies.",the accounting rules to be applied by union institutions european offices and the agencies and union bodies referred to in section 2 of chapter 3 of this title shall be based on internationally accepted accounting standards for the public sector. the accounting rules to be applied by union institutions european offices and the agencies and union bodies shall be adopted by the accounting officer of the commission following consultation with the accounting officers of other union institutions european offices and union bodies.,"[[{'head': 'internationally accepted accounting standards', 'type': 'subclass of', 'tail': 'accounting'}], [{'head': 'accounting officer', 'type': 'field of this occupation', 'tail': 'accounting'}], [{'head': 'accounting standards', 'type': 'used by', 'tail': 'accounting officer'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 80  Accounting rules ,"the accounting officer of the commission may deviate from the standards referred to in paragraph 1 if the accounting officer of the commission or the accounting officer of the commission considers this necessary in order to give a fair presentation of the assets and liabilities, charges, income and cash flow. where an accounting rule diverges materially from those standards, the notes to the financial statements shall disclose that fact and the reasons for it.",the accounting officer of the commission may deviate from the standards referred to in paragraph 1 if the accounting officer of the commission or the accounting officer of the commission considers this necessary in order to give a fair presentation of the assets and liabilities charges income and cash flow. where an accounting rule diverges materially from those standards the notes to the financial statements shall disclose that fact and the reasons for it.,"[[{'head': 'financial statement', 'type': 'has part', 'tail': 'notes'}], [{'head': 'financial statements', 'type': 'has part', 'tail': 'notes'}], [{'head': 'financial statements', 'type': 'part of', 'tail': 'accounting'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 80  Accounting rules ,"the accounting rules to be applied by union institutions, european offices and the agencies and union bodies referred to in paragraph 1 shall lay down the structure and content of the financial statements, as well as the accounting principles underlying the accounts.",the accounting rules to be applied by union institutions european offices and the agencies and union bodies referred to in paragraph 1 shall lay down the structure and content of the financial statements as well as the accounting principles underlying the accounts.,"[[{'head': 'financial statements', 'type': 'subclass of', 'tail': 'accounts'}], [{'head': 'financial statements', 'type': 'facet of', 'tail': 'accounting principles'}], [{'head': 'financial statements', 'type': 'part of', 'tail': 'accounting principles'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 80  Accounting rules ,the budget implementation reports referred to in article 241 shall respect the budgetary principles laid down in this regulation. the budget implementation reports referred to in article shall provide a detailed record of budget implementation. the budget implementation reports referred to in article shall record all revenue and expenditure operations provided for in this title and give a fair presentation thereon.,the budget implementation reports referred to in article 241 shall respect the budgetary principles laid down in this regulation. the budget implementation reports referred to in article shall provide a detailed record of budget implementation. the budget implementation reports referred to in article shall record all revenue and expenditure operations provided for in this title and give a fair presentation thereon.,"[[{'head': 'revenue', 'type': 'has part', 'tail': 'expenditure'}], [{'head': 'budget implementation', 'type': 'facet of', 'tail': 'budgetary'}], [{'head': 'revenue', 'type': 'has part', 'tail': 'expenditure'}, {'head': 'expenditure', 'type': 'part of', 'tail': 'revenue'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 81  Organisation of the accounts ,the accounting officer of each union institution or body shall draw up and keep updated documents describing the organisation of the accounts and the accounting procedures of his or her union institution or body.,the accounting officer of each union institution or body shall draw up and keep updated documents describing the organisation of the accounts and the accounting procedures of his or her union institution or body.,"[[{'head': 'accounting officer', 'type': 'field of this occupation', 'tail': 'organisation of the accounts'}, {'head': 'organisation of the accounts', 'type': 'practiced by', 'tail': 'accounting officer'}], [{'head': 'accounts', 'type': 'part of', 'tail': 'accounting'}], [{'head': 'organisation of the accounts', 'type': 'practiced by', 'tail': 'accounting officer'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 81  Organisation of the accounts ,"revenue and expenditure shall be recorded in a computerised system according to the economic nature of the operation, as current revenue or expenditure or as capital.",revenue and expenditure shall be recorded in a computerised system according to the economic nature of the operation as current revenue or expenditure or as capital.,"[[{'head': 'capital', 'type': 'subclass of', 'tail': 'revenue'}], [{'head': 'capital', 'type': 'has part', 'tail': 'revenue'}], [{'head': 'capital', 'type': 'subclass of', 'tail': 'expenditure'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,"the accounting officer of the commission shall be responsible for laying down the harmonised charts of accounts to be applied by union institutions, by european offices and by the agencies and union bodies referred to in section 2 of chapter 3 of this title.",the accounting officer of the commission shall be responsible for laying down the harmonised charts of accounts to be applied by union institutions by european offices and by the agencies and union bodies referred to in section 2 of chapter 3 of this title.,"[[{'head': 'european offices', 'type': 'instance of', 'tail': 'union institutions'}], [{'head': 'accounts', 'type': 'practiced by', 'tail': 'accounting officer'}], [{'head': 'harmonised charts of accounts', 'type': 'used by', 'tail': 'accounting officer'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,the accounting officers shall obtain from authorising officers all the information necessary for the production of accounts which give a fair presentation of the financial situation of union institutions and of budget implementation. the accounting officers shall guarantee the reliability of that information.,the accounting officers shall obtain from authorising officers all the information necessary for the production of accounts which give a fair presentation of the financial situation of union institutions and of budget implementation. the accounting officers shall guarantee the reliability of that information.,"[[{'head': 'budget implementation', 'type': 'facet of', 'tail': 'financial situation'}], [{'head': 'accounts', 'type': 'facet of', 'tail': 'financial situation'}], [{'head': 'budget implementation', 'type': 'part of', 'tail': 'financial situation'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,"before the adoption of the accounts by the union institution or the union body referred to in article 70, the accounting officer of the commission shall sign the adoption of the accounts by the union institution or the union body referred to in article 70 off, thereby certifying that the accounting officer of the commission or she has reasonable assurance that the accounts give a fair presentation of the financial situation of the union institution or the union body the union body referred to in article 70. for that purpose, the accounting officer of the commission shall verify that the accounts have been prepared in accordance with the accounting rules referred to in article 80, and the accounting procedures referred to in point (d) of the first subparagraph of article 77(1), and that all revenue and expenditure is entered in the accounts.",before the adoption of the accounts by the union institution or the union body referred to in article 70 the accounting officer of the commission shall sign the adoption of the accounts by the union institution or the union body referred to in article 70 off thereby certifying that the accounting officer of the commission or she has reasonable assurance that the accounts give a fair presentation of the financial situation of the union institution or the union body the union body referred to in article 70. for that purpose the accounting officer of the commission shall verify that the accounts have been prepared in accordance with the accounting rules referred to in article 80 and the accounting procedures referred to in point of the first subparagraph of article 77(1) and that all revenue and expenditure is entered in the accounts.,"[[{'head': 'revenue', 'type': 'has part', 'tail': 'expenditure'}], [{'head': 'revenue', 'type': 'has part', 'tail': 'expenditure'}, {'head': 'expenditure', 'type': 'part of', 'tail': 'revenue'}], [{'head': 'revenue', 'type': 'opposite of', 'tail': 'expenditure'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,"the accounting officer of the commission shall, in accordance with the rules adopted by the accounting officer of the commission, send the accounting officer of the commission any financial and management information required for the performance of the accounting officer’s duties. the accounting officer of the commission shall be informed, regularly and at least for the closure of the accounts, by the accounting officer of the commission accounts in order to allow the use of union funds to be reflected in the accounts of the union. the authorising officers shall remain fully responsible for the proper use of the funds the authorising officers manage, the legality and regularity of the expenditure under the authorising officers control and the completeness and accuracy of the information sent to the accounting officer of the commission.",the accounting officer of the commission shall in accordance with the rules adopted by the accounting officer of the commission send the accounting officer of the commission any financial and management information required for the performance of the accounting officers duties. the accounting officer of the commission shall be informed regularly and at least for the closure of the accounts by the accounting officer of the commission accounts in order to allow the use of union funds to be reflected in the accounts of the union. the authorising officers shall remain fully responsible for the proper use of the funds the authorising officers manage the legality and regularity of the expenditure under the authorising officers control and the completeness and accuracy of the information sent to the accounting officer of the commission.,"[[{'head': 'financial', 'type': 'studied by', 'tail': 'management'}, {'head': 'management', 'type': 'studies', 'tail': 'financial'}], [{'head': 'financial', 'type': 'studied by', 'tail': 'management'}], [{'head': 'financial', 'type': 'part of', 'tail': 'management'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,"the accounting officer of the commission shall notify the accounting officer of all developments or significant modifi­cations of a financial management system, an inventory system or a system for the valuation of assets and liabilities, if a financial management system, an inventory system or a system for the valuation of assets and liabilities provides data for the accounts of the union institution or is used to substantiate data thereof, so that the accounting officer of the commission can verify compliance with the validation criteria. at any time, the accounting officer of the commission may re-examine a financial management system already validated and may request that the accounting officer of the commission establishes an action plan in order to correct, in due time, possible weaknesses. the accounting officer of the commission shall be responsible for the completeness of information sent to the accounting officer of the commission.",the accounting officer of the commission shall notify the accounting officer of all developments or significant modifi­cations of a financial management system an inventory system or a system for the valuation of assets and liabilities if a financial management system an inventory system or a system for the valuation of assets and liabilities provides data for the accounts of the union institution or is used to substantiate data thereof so that the accounting officer of the commission can verify compliance with the validation criteria. at any time the accounting officer of the commission may reexamine a financial management system already validated and may request that the accounting officer of the commission establishes an action plan in order to correct in due time possible weaknesses. the accounting officer of the commission shall be responsible for the completeness of information sent to the accounting officer of the commission.,"[[{'head': 'inventory system', 'type': 'part of', 'tail': 'financial management system'}], [{'head': 'inventory system', 'type': 'subclass of', 'tail': 'financial management system'}], [{'head': 'inventory system', 'type': 'facet of', 'tail': 'financial management system'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,"the accounting officer of the commission shall be empowered to check the information received as well as to carry out any further checks the accounting officer of the commission or the accounting officer of the commission deems necessary in order to sign off the accounts. the accounting officer of the commission shall, if necessary, make reservations, explaining exactly the nature and scope of such reservations.",the accounting officer of the commission shall be empowered to check the information received as well as to carry out any further checks the accounting officer of the commission or the accounting officer of the commission deems necessary in order to sign off the accounts. the accounting officer of the commission shall if necessary make reservations explaining exactly the nature and scope of such reservations.,"[[{'head': 'accounting officer of the commission', 'type': 'different from', 'tail': 'accounting officer of the commission'}, {'head': 'accounting officer of the commission', 'type': 'different from', 'tail': 'accounting officer of the commission'}], [{'head': 'accounting officer of the commission', 'type': 'subclass of', 'tail': 'accounting officer of the commission'}], [{'head': 'John F. Kennedy School of Government', 'type': 'part of', 'tail': 'Harvard University'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,"a union institution’s accounting system shall serve to organise the budgetary and financial information in such a way that figures can be entered, filed and registered.",a union institutions accounting system shall serve to organise the budgetary and financial information in such a way that figures can be entered filed and registered.,"[[{'head': 'financial information', 'type': 'part of', 'tail': 'budgetary'}], [{'head': 'budgetary', 'type': 'subclass of', 'tail': 'financial information'}], [{'head': 'financial information', 'type': 'facet of', 'tail': 'budgetary'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,a union institution’s accounting system shall consist of general accounts and budget accounts. general accounts and budget accounts shall be kept in euro and on the basis of the calendar year.,a union institutions accounting system shall consist of general accounts and budget accounts. general accounts and budget accounts shall be kept in euro and on the basis of the calendar year.,"[[{'head': 'budget accounts', 'type': 'subclass of', 'tail': 'general accounts'}], [{'head': 'budget accounts', 'type': 'subclass of', 'tail': 'accounting system'}], [{'head': 'budget accounts', 'type': 'part of', 'tail': 'accounting system'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,the accounting officer of the commission may also keep detailed management accounts.,the accounting officer of the commission may also keep detailed management accounts.,"[[{'head': 'management accounts', 'type': 'practiced by', 'tail': 'accounting officer'}], [{'head': 'accounting officer', 'type': 'field of this occupation', 'tail': 'management accounts'}, {'head': 'management accounts', 'type': 'practiced by', 'tail': 'accounting officer'}], [{'head': 'management accounts', 'type': 'subclass of', 'tail': 'accounting officer'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 82  Keeping the accounts ,"supporting documents for a union institution’s accounting system and for the preparation of the accounts referred to in article 241 shall be kept for at least five years from the date on which the european parliament gives discharge for the financial year to which the documents relate. l 193/68   however, documents relating to operations not definitively closed shall be kept until the end of the year following that in which operations are closed. article 37(2) of regulation (ec) no 45/2001 shall apply to the conservation of traffic data. each union institution shall decide in which department the documents are to be kept.",supporting documents for a union institutions accounting system and for the preparation of the accounts referred to in article 241 shall be kept for at least five years from the date on which the european parliament gives discharge for the financial year to which the documents relate. l 19368 however documents relating to operations not definitively closed shall be kept until the end of the year following that in which operations are closed. article 37(2) of regulation (ec) no 452001 shall apply to the conservation of traffic data. each union institution shall decide in which department the documents are to be kept.,"[[{'head': 'european parliament', 'type': 'part of', 'tail': 'union institutions'}], [{'head': 'union institutions', 'type': 'legislative body', 'tail': 'european parliament'}], [{'head': 'european parliament', 'type': 'part of', 'tail': 'union institution'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 83  Content and keeping of budget accounts ,"the budget accounts shall for each subdivision of the budget show: (a) in the case of expenditure: (i) the appropriations authorised in the budget, including the appropriations entered in amending budgets, the appropriations, the appropriations available following collection of assigned revenue, transfers of appropriations and the total appropriations available; (ii) the commitment appropriations and payment appropriations in respect of the financial year; (b) in the case of revenue: (i) the estimates entered in the budget, including the estimates entered in amending budgets, assigned revenue and the total amount of estimated revenue; (ii) the entitlements established and the amounts recovered in respect of the financial year; (c) the commitments still to be paid and the revenue still to be recovered, carried forward from preceding financial years. the commitment appropriations and payment appropriations referred to in point (a) of the first subparagraph shall be entered and shown separately.",the budget accounts shall for each subdivision of the budget show: in the case of expenditure: the appropriations authorised in the budget including the appropriations entered in amending budgets the appropriations the appropriations available following collection of assigned revenue transfers of appropriations and the total appropriations available (ii) the commitment appropriations and payment appropriations in respect of the financial year in the case of revenue: the estimates entered in the budget including the estimates entered in amending budgets assigned revenue and the total amount of estimated revenue (ii) the entitlements established and the amounts recovered in respect of the financial year the commitments still to be paid and the revenue still to be recovered carried forward from preceding financial years. the commitment appropriations and payment appropriations referred to in point of the first subparagraph shall be entered and shown separately.,"[[{'head': 'expenditure', 'type': 'part of', 'tail': 'budget'}], [{'head': 'revenue', 'type': 'subclass of', 'tail': 'expenditure'}], [{'head': 'expenditure', 'type': 'part of', 'tail': 'budget'}, {'head': 'budget', 'type': 'has part', 'tail': 'expenditure'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 83  Content and keeping of budget accounts ,"the budget accounts shall show separately: (a) the use of appropriations carried over and the appropriations for the financial year; (b) the clearance of outstanding commitments. on the revenue side, amounts still to be recovered from preceding financial years shall be shown separately.",the budget accounts shall show separately: the use of appropriations carried over and the appropriations for the financial year the clearance of outstanding commitments. on the revenue side amounts still to be recovered from preceding financial years shall be shown separately.,"[[{'head': 'revenue', 'type': 'part of', 'tail': 'budget'}], [{'head': 'revenue', 'type': 'part of', 'tail': 'budget accounts'}], [{'head': 'appropriations', 'type': 'part of', 'tail': 'budget accounts'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 84  General accounts ,"the general accounts shall, in chronological order using the double-entry method, record all events and operations which affect the economic and financial situation and the assets and liabilities of union institutions and of the agencies and union bodies referred to in section 2 of chapter 3 of this title.",the general accounts shall in chronological order using the doubleentry method record all events and operations which affect the economic and financial situation and the assets and liabilities of union institutions and of the agencies and union bodies referred to in section 2 of chapter 3 of this title.,"[[{'head': 'doubleentry method', 'type': 'use', 'tail': 'general accounts'}], [{'head': 'doubleentry method', 'type': 'use', 'tail': 'accounts'}], [{'head': 'doubleentry', 'type': 'use', 'tail': 'general accounts'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 84  General accounts ,balances and movements in the general accounts shall be entered in the accounting ledgers.,balances and movements in the general accounts shall be entered in the accounting ledgers.,"[[{'head': 'general accounts', 'type': 'part of', 'tail': 'accounting'}], [{'head': 'accounting ledgers', 'type': 'has part', 'tail': 'general accounts'}], [{'head': 'general accounts', 'type': 'part of', 'tail': 'accounting ledgers'}, {'head': 'accounting ledgers', 'type': 'has part', 'tail': 'general accounts'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 84  General accounts ,"all accounting entries, including adjustments to the accounts, shall be based on supporting documents, to which the entries shall refer.",all accounting entries including adjustments to the accounts shall be based on supporting documents to which the entries shall refer.,"[[{'head': 'accounting', 'type': 'studies', 'tail': 'accounts'}, {'head': 'accounts', 'type': 'studied by', 'tail': 'accounting'}], [{'head': 'accounting', 'type': 'has part', 'tail': 'accounts'}, {'head': 'accounts', 'type': 'part of', 'tail': 'accounting'}], [{'head': 'adjustments to the accounts', 'type': 'part of', 'tail': 'accounting'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 84  General accounts ,the accounting system shall be such as to leave a clear audit trail for all accounting entries.,the accounting system shall be such as to leave a clear audit trail for all accounting entries.,"[[{'head': 'audit trail', 'type': 'facet of', 'tail': 'accounting system'}], [{'head': 'audit trail', 'type': 'part of', 'tail': 'accounting'}], [{'head': 'audit trail', 'type': 'part of', 'tail': 'accounting system'}]]"
"TITLE IV 
BUDGET IMPLEMENTATION ",Article 85  Bank accounts ,"for the requirements of treasury management, the accounting officer may, in the name of the accounting officer or the accounting officer union institution, open accounts with financial institutions or national central banks or request for such accounts to be opened. the accounting officer shall also be responsible for closing the requirements of treasury management, the accounting officer may, in the name of his or her union institution, open accounts with financial institutions or national central banks or request for such accounts to be opened or for ensuring that the requirements of treasury management, the accounting officer may, in the name of his or her union institution, open accounts with financial institutions or national central banks or request for such accounts to be opened are closed.",for the requirements of treasury management the accounting officer may in the name of the accounting officer or the accounting officer union institution open accounts with financial institutions or national central banks or request for such accounts to be opened. the accounting officer shall also be responsible for closing the requirements of treasury management the accounting officer may in the name of his or her union institution open accounts with financial institutions or national central banks or request for such accounts to be opened or for ensuring that the requirements of treasury management the accounting officer may in the name of his or her union institution open accounts with financial institutions or national central banks or request for such accounts to be opened are closed.,"[[{'head': 'central bank', 'type': 'subclass of', 'tail': 'financial institution'}], [{'head': 'central bank', 'type': 'part of', 'tail': 'financial institutions'}], [{'head': 'central bank', 'type': 'part of', 'tail': 'financial institution'}]]"
